dataset,acquisition,error_model,jitter_std,jitter_iteration,n_seeds
ackley,logei,slip,0.01,0,5
ackley,logei,slip,0.01,20,5
ackley,logei,slip,0.05,0,5
ackley,logei,slip,0.05,20,5
ackley,logei,slip,0.15,0,5
ackley,logei,slip,0.15,20,5
ackley,logei,slip,0.4,0,5
ackley,logei,slip,0.4,20,5
ackley,qnei,slip,0.01,0,5
ackley,qnei,slip,0.01,20,5
ackley,qnei,slip,0.05,0,5
ackley,qnei,slip,0.05,20,5
ackley,qnei,slip,0.15,0,5
ackley,qnei,slip,0.15,20,5
ackley,qnei,slip,0.4,0,5
ackley,qnei,slip,0.4,20,5
branin,logei,slip,0.01,0,5
branin,logei,slip,0.01,20,5
branin,logei,slip,0.05,0,5
branin,logei,slip,0.05,20,5
branin,logei,slip,0.15,0,5
branin,logei,slip,0.15,20,5
branin,logei,slip,0.4,0,5
branin,logei,slip,0.4,20,5
branin,qnei,slip,0.01,0,5
branin,qnei,slip,0.01,20,5
branin,qnei,slip,0.05,0,5
branin,qnei,slip,0.05,20,5
branin,qnei,slip,0.15,0,5
branin,qnei,slip,0.15,20,5
branin,qnei,slip,0.4,0,5
branin,qnei,slip,0.4,20,5
eggholder,logei,slip,0.01,0,5
eggholder,logei,slip,0.01,20,5
eggholder,logei,slip,0.05,0,5
eggholder,logei,slip,0.05,20,5
eggholder,logei,slip,0.15,0,5
eggholder,logei,slip,0.15,20,5
eggholder,logei,slip,0.4,0,5
eggholder,logei,slip,0.4,20,5
eggholder,qnei,slip,0.01,0,5
eggholder,qnei,slip,0.01,20,5
eggholder,qnei,slip,0.05,0,5
eggholder,qnei,slip,0.05,20,5
eggholder,qnei,slip,0.15,0,5
eggholder,qnei,slip,0.15,20,5
eggholder,qnei,slip,0.4,0,5
eggholder,qnei,slip,0.4,20,5
griewank,logei,slip,0.01,0,5
griewank,logei,slip,0.01,20,5
griewank,logei,slip,0.05,0,5
griewank,logei,slip,0.05,20,5
griewank,logei,slip,0.15,0,5
griewank,logei,slip,0.15,20,5
griewank,logei,slip,0.4,0,5
griewank,logei,slip,0.4,20,5
griewank,qnei,slip,0.01,0,5
griewank,qnei,slip,0.01,20,5
griewank,qnei,slip,0.05,0,5
griewank,qnei,slip,0.05,20,5
griewank,qnei,slip,0.15,0,5
griewank,qnei,slip,0.15,20,5
griewank,qnei,slip,0.4,0,5
griewank,qnei,slip,0.4,20,5
hartmann_3,logei,slip,0.01,0,5
hartmann_3,logei,slip,0.01,20,5
hartmann_3,logei,slip,0.05,0,5
hartmann_3,logei,slip,0.05,20,5
hartmann_3,logei,slip,0.15,0,5
hartmann_3,logei,slip,0.15,20,5
hartmann_3,logei,slip,0.4,0,5
hartmann_3,logei,slip,0.4,20,5
hartmann_3,qnei,slip,0.01,0,5
hartmann_3,qnei,slip,0.01,20,5
hartmann_3,qnei,slip,0.05,0,5
hartmann_3,qnei,slip,0.05,20,5
hartmann_3,qnei,slip,0.15,0,5
hartmann_3,qnei,slip,0.15,20,5
hartmann_3,qnei,slip,0.4,0,5
hartmann_3,qnei,slip,0.4,20,5
hartmann_6,logei,slip,0.01,0,5
hartmann_6,logei,slip,0.01,20,5
hartmann_6,logei,slip,0.05,0,5
hartmann_6,logei,slip,0.05,20,5
hartmann_6,logei,slip,0.15,0,5
hartmann_6,logei,slip,0.15,20,5
hartmann_6,logei,slip,0.4,0,5
hartmann_6,logei,slip,0.4,20,5
hartmann_6,qnei,slip,0.01,0,5
hartmann_6,qnei,slip,0.01,20,5
hartmann_6,qnei,slip,0.05,0,5
hartmann_6,qnei,slip,0.05,20,5
hartmann_6,qnei,slip,0.15,0,5
hartmann_6,qnei,slip,0.15,20,5
hartmann_6,qnei,slip,0.4,0,5
hartmann_6,qnei,slip,0.4,20,5
hicks_law,logei,slip,0.01,0,5
hicks_law,logei,slip,0.01,20,5
hicks_law,logei,slip,0.05,0,5
hicks_law,logei,slip,0.05,20,5
hicks_law,logei,slip,0.15,0,5
hicks_law,logei,slip,0.15,20,5
hicks_law,logei,slip,0.4,0,5
hicks_law,logei,slip,0.4,20,5
hicks_law,qnei,slip,0.01,0,5
hicks_law,qnei,slip,0.01,20,5
hicks_law,qnei,slip,0.05,0,5
hicks_law,qnei,slip,0.05,20,5
hicks_law,qnei,slip,0.15,0,5
hicks_law,qnei,slip,0.15,20,5
