h,kappa,w,n_runs,false_alarm_clean,false_alarm_onset0,pre_onset_alarm_late,detection_rate_late,mean_trials_used,mean_regret_norm,mean_regret_norm_ship_T,feasible,split
inf,,0,6600,0.0,0.0,0.0,0.0,50.0,0.32924965219464397,0.32924965219464397,True,tune
2.0,0.0,0,6600,0.95,0.9821875,0.67,0.3190625,19.235151515151514,0.37617835552150847,0.32924965219464397,False,tune
2.0,0.0,1,6600,0.95,0.9821875,0.67,0.3190625,19.235151515151514,0.38536486168322537,0.32924965219464397,False,tune
2.0,0.0,2,6600,0.95,0.9821875,0.67,0.3190625,19.235151515151514,0.3962023024401377,0.32924965219464397,False,tune
2.0,0.0,3,6600,0.95,0.9821875,0.67,0.3190625,19.235151515151514,0.40349940197968115,0.32924965219464397,False,tune
5.0,0.0,0,6600,0.895,0.951875,0.565,0.4040625,21.10454545454545,0.3739324433790584,0.32924965219464397,False,tune
5.0,0.0,1,6600,0.895,0.951875,0.565,0.4040625,21.10454545454545,0.37576835700108,0.32924965219464397,False,tune
5.0,0.0,2,6600,0.895,0.951875,0.565,0.4040625,21.10454545454545,0.38620797194967743,0.32924965219464397,False,tune
5.0,0.0,3,6600,0.895,0.951875,0.565,0.4040625,21.10454545454545,0.3899553275860078,0.32924965219464397,False,tune
10.0,0.0,0,6600,0.805,0.9128125,0.475,0.4715625,23.18681818181818,0.3709538799535371,0.32924965219464397,False,tune
10.0,0.0,1,6600,0.805,0.9128125,0.475,0.4715625,23.18681818181818,0.3733112268551733,0.32924965219464397,False,tune
10.0,0.0,2,6600,0.805,0.9128125,0.475,0.4715625,23.18681818181818,0.37870469332865236,0.32924965219464397,False,tune
10.0,0.0,3,6600,0.805,0.9128125,0.475,0.4715625,23.18681818181818,0.3825214125568905,0.32924965219464397,False,tune
20.0,0.0,0,6600,0.71,0.8434375,0.375,0.5434375,25.770454545454545,0.361021772664359,0.32924965219464397,False,tune
20.0,0.0,1,6600,0.71,0.8434375,0.375,0.5434375,25.770454545454545,0.36520526880020376,0.32924965219464397,False,tune
20.0,0.0,2,6600,0.71,0.8434375,0.375,0.5434375,25.770454545454545,0.36976971850835655,0.32924965219464397,False,tune
20.0,0.0,3,6600,0.71,0.8434375,0.375,0.5434375,25.770454545454545,0.37273719690518015,0.32924965219464397,False,tune
50.0,0.0,0,6600,0.555,0.714375,0.245,0.6140625,30.236060606060608,0.3466489423593283,0.32924965219464397,False,tune
50.0,0.0,1,6600,0.555,0.714375,0.245,0.6140625,30.236060606060608,0.34788950694034426,0.32924965219464397,False,tune
50.0,0.0,2,6600,0.555,0.714375,0.245,0.6140625,30.236060606060608,0.34782312708087887,0.32924965219464397,False,tune
50.0,0.0,3,6600,0.555,0.714375,0.245,0.6140625,30.236060606060608,0.3558105677266998,0.32924965219464397,False,tune
100.0,0.0,0,6600,0.45,0.581875,0.15,0.6525,33.686666666666675,0.3358038791249002,0.32924965219464397,False,tune
100.0,0.0,1,6600,0.45,0.581875,0.15,0.6525,33.686666666666675,0.3351916057054438,0.32924965219464397,False,tune
100.0,0.0,2,6600,0.45,0.581875,0.15,0.6525,33.686666666666675,0.3330510089570923,0.32924965219464397,False,tune
100.0,0.0,3,6600,0.45,0.581875,0.15,0.6525,33.686666666666675,0.3353151738048387,0.32924965219464397,False,tune
200.0,0.0,0,6600,0.36,0.445625,0.075,0.6515625,37.07727272727273,0.32522001149989044,0.32924965219464397,False,tune
200.0,0.0,1,6600,0.36,0.445625,0.075,0.6515625,37.07727272727273,0.32446039290538964,0.32924965219464397,False,tune
200.0,0.0,2,6600,0.36,0.445625,0.075,0.6515625,37.07727272727273,0.32332532259854513,0.32924965219464397,False,tune
200.0,0.0,3,6600,0.36,0.445625,0.075,0.6515625,37.07727272727273,0.3240233955373211,0.32924965219464397,False,tune
500.0,0.0,0,6600,0.215,0.2821875,0.03,0.5815625,41.04333333333334,0.3148315161984909,0.32924965219464397,False,tune
500.0,0.0,1,6600,0.215,0.2821875,0.03,0.5815625,41.04333333333334,0.3161211285938115,0.32924965219464397,False,tune
500.0,0.0,2,6600,0.215,0.2821875,0.03,0.5815625,41.04333333333334,0.3131450688889725,0.32924965219464397,False,tune
500.0,0.0,3,6600,0.215,0.2821875,0.03,0.5815625,41.04333333333334,0.3103009388196471,0.32924965219464397,False,tune
1000.0,0.0,0,6600,0.125,0.1728125,0.015,0.4996875,43.591666666666676,0.31262653164986204,0.32924965219464397,False,tune
1000.0,0.0,1,6600,0.125,0.1728125,0.015,0.4996875,43.591666666666676,0.3120752365629416,0.32924965219464397,False,tune
1000.0,0.0,2,6600,0.125,0.1728125,0.015,0.4996875,43.591666666666676,0.3096869640172155,0.32924965219464397,False,tune
1000.0,0.0,3,6600,0.125,0.1728125,0.015,0.4996875,43.591666666666676,0.30631811873064774,0.32924965219464397,False,tune
2000.0,0.0,0,6600,0.06,0.08875,0.005,0.4109375,45.31196969696968,0.31355508790369224,0.32924965219464397,True,tune
2000.0,0.0,1,6600,0.06,0.08875,0.005,0.4109375,45.31196969696968,0.3129734870671717,0.32924965219464397,True,tune
2000.0,0.0,2,6600,0.06,0.08875,0.005,0.4109375,45.31196969696968,0.3087892420592358,0.32924965219464397,True,tune
2000.0,0.0,3,6600,0.06,0.08875,0.005,0.4109375,45.31196969696968,0.30626971446366713,0.32924965219464397,True,tune
5000.0,0.0,0,6600,0.04,0.0325,0.005,0.3134375,46.833030303030306,0.31469142889155016,0.32924965219464397,True,tune
5000.0,0.0,1,6600,0.04,0.0325,0.005,0.3134375,46.833030303030306,0.31750340652521303,0.32924965219464397,True,tune
5000.0,0.0,2,6600,0.04,0.0325,0.005,0.3134375,46.833030303030306,0.31361930758080936,0.32924965219464397,True,tune
5000.0,0.0,3,6600,0.04,0.0325,0.005,0.3134375,46.833030303030306,0.3104248210414043,0.32924965219464397,True,tune
10000.0,0.0,0,6600,0.015,0.015,0.0,0.250625,47.726969696969704,0.3182089533872276,0.32924965219464397,True,tune
10000.0,0.0,1,6600,0.015,0.015,0.0,0.250625,47.726969696969704,0.3209044482759043,0.32924965219464397,True,tune
10000.0,0.0,2,6600,0.015,0.015,0.0,0.250625,47.726969696969704,0.31885505424941285,0.32924965219464397,True,tune
10000.0,0.0,3,6600,0.015,0.015,0.0,0.250625,47.726969696969704,0.31735987201932525,0.32924965219464397,True,tune
2.0,1.0,0,6600,0.935,0.9615625,0.605,0.3709375,20.47742424242424,0.3743398770965967,0.32924965219464397,False,tune
2.0,1.0,1,6600,0.935,0.9615625,0.605,0.3709375,20.47742424242424,0.38046059090851386,0.32924965219464397,False,tune
2.0,1.0,2,6600,0.935,0.9615625,0.605,0.3709375,20.47742424242424,0.39066481433279704,0.32924965219464397,False,tune
