error_model,magnitude,class,n_landscapes,rating_excess,pairwise_excess,removed_share,removed_lo,removed_hi
bias,1.0,shared,20,0.0,0.0,,,
ceiling,1.0,shared,20,0.15080212864289388,0.15124663342893127,-0.0029476028623574824,-0.30035859602568526,0.26970225617295474
drift,1.0,shared,20,0.04036614993536056,0.0,1.0,1.0,1.0
gaussian,1.0,idiosyncratic,20,0.2573763223139814,0.3256848427060235,-0.26540328099299837,-0.7906424283227891,0.14671738214229857
