shipped_true,best_visited_true,n_designs,fit_failures,dataset,elicitation,error_model,magnitude,seed,apply_error,y_opt,seconds
3.704303004140812,3.704303004140812,20,0,ackley,rating,bias,1.0,7,True,20.102447153853433,2.9485483169555664
3.704303004140812,3.704303004140812,20,0,ackley,rating,bias,1.0,7,False,20.102447153853433,1.8245739936828613
6.286056301645496,6.286056301645496,20,0,ackley,rating,drift,1.0,7,True,20.102447153853433,3.2066335678100586
3.704303004140812,3.704303004140812,20,0,ackley,rating,drift,1.0,7,False,20.102447153853433,1.8430888652801514
2.517364033404305,4.370747719366003,20,0,ackley,rating,ceiling,1.0,7,True,20.102447153853433,3.2504680156707764
3.704303004140812,3.704303004140812,20,0,ackley,rating,ceiling,1.0,7,False,20.102447153853433,1.8058280944824219
3.9365773124455474,5.000018901027756,20,0,ackley,rating,gaussian,1.0,7,True,20.102447153853433,2.851184844970703
3.704303004140812,3.704303004140812,20,0,ackley,rating,gaussian,1.0,7,False,20.102447153853433,1.923448085784912
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,bias,1.0,7,True,20.102447153853433,6.985124349594116
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,bias,1.0,7,False,20.102447153853433,5.936766147613525
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,drift,1.0,7,True,20.102447153853433,6.859433889389038
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,drift,1.0,7,False,20.102447153853433,6.104481935501099
2.0054948136603112,2.517364033404305,21,0,ackley,pairwise,ceiling,1.0,7,True,20.102447153853433,6.269766569137573
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,ceiling,1.0,7,False,20.102447153853433,5.915889024734497
2.517364033404305,6.960241757234759,21,0,ackley,pairwise,gaussian,1.0,7,True,20.102447153853433,5.203449010848999
4.344014544466746,4.344014544466746,21,0,ackley,pairwise,gaussian,1.0,7,False,20.102447153853433,5.778196811676025
5.573763471946885,5.573763471946885,20,0,ackley,rating,bias,1.0,8,True,20.102447153853433,3.292447805404663
5.573763471946885,5.573763471946885,20,0,ackley,rating,bias,1.0,8,False,20.102447153853433,2.1354405879974365
9.014730485633086,9.014730485633086,20,0,ackley,rating,drift,1.0,8,True,20.102447153853433,3.0224392414093018
5.573763471946885,5.573763471946885,20,0,ackley,rating,drift,1.0,8,False,20.102447153853433,2.1192739009857178
2.136355962148398,8.058017883185217,20,0,ackley,rating,ceiling,1.0,8,True,20.102447153853433,1.7719173431396484
5.573763471946885,5.573763471946885,20,0,ackley,rating,ceiling,1.0,8,False,20.102447153853433,2.1114258766174316
1.5733450854467879,2.136355962148398,20,0,ackley,rating,gaussian,1.0,8,True,20.102447153853433,2.219959259033203
5.573763471946885,5.573763471946885,20,0,ackley,rating,gaussian,1.0,8,False,20.102447153853433,2.153679847717285
8.058017883185217,8.058017883185217,21,0,ackley,pairwise,bias,1.0,8,True,20.102447153853433,5.408846378326416
8.058017883185217,8.058017883185217,21,0,ackley,pairwise,bias,1.0,8,False,20.102447153853433,5.7053539752960205
