run_id,dataset,objective,acquisition,seed,oracle_model,baseline,variant,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1,response_x2,response_x3
4a391a21-f733-46c6-879c-cf9fcdbda47f,steering_law,value,logei,10,exact,True,noise-self_report,none,0.0,0,50,0,1,2,0.836968810674568,1.2902879547494157,8.722304960828708e-05,25.692641483787384,0.5138528296757476,1.6460662346711143,0.0335931884626758,8.722304960828708e-05,1.6460662346711143,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588
f0a73f5e-7cdf-4f72-9d21-011901d13efc,steering_law,value,logei,10,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,0.836968810674568,1.2903334438414749,4.173395754913933e-05,12.999256723968006,0.2599851344793601,1.230535462553668,0.025112968623544243,0.0169751029399183,1.9973923367043387,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588
5db114cc-7deb-47a0-bbb3-558137d4400a,steering_law,value,logei,10,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,0.836968810674568,1.2770461473213872,0.0133290304776367,45.037601931991,0.90075203863982,1.8204919047975114,0.03715289601627574,0.0605660704561761,3.875303143863976,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588
5d74f339-74ec-4f02-b643-0698e5294559,steering_law,value,logei,11,exact,True,noise-self_report,none,0.0,0,50,0,1,2,0.69037676787909,1.2903635496388577,1.1628160166532451e-05,29.4379754922628,0.5887595098452559,6.834073989945998,0.13947089775399996,1.1628160166532451e-05,6.834073989945998,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534
c1354505-ff16-45fe-8983-3afeb7c7438f,steering_law,value,logei,11,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,0.69037676787909,1.2902936395761802,8.15382228438466e-05,27.93614903455952,0.5587229806911904,7.488773273713377,0.15283210762680363,0.0039830460331866,10.287647155459018,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534
a416317e-95ea-4eb5-9d50-56145b6d83e4,steering_law,value,logei,11,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,0.69037676787909,1.0317943420237554,0.2585808357752686,49.08363269072934,0.9816726538145868,18.86719843353288,0.38504486599046694,0.6245814099504873,29.36131785990933,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534
210c4d4f-4db4-4be7-b6eb-01dff80eb444,steering_law,value,logei,7,exact,True,noise-self_report,none,0.0,0,50,0,1,2,1.027096714485386,1.290372761795562,2.4160034619580277e-06,26.06446034537533,0.5212892069075066,8.568110492197125,0.1748593977999413,2.4160034619580277e-06,8.568110492197125,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744
0e6a737e-ddcc-4692-9773-b25595798cac,steering_law,value,logei,7,exact,False,noise-self_report_conf-r0,gaussian,0.25,0,50,0,1,2,1.027096714485386,0.7307024001526031,0.5596727776464209,45.0070032858987,0.900140065717974,34.2143632110807,0.6982523104302184,0.6982885976367429,40.93236448425926,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744
53837eff-0482-4b97-8d22-49efb6938136,steering_law,value,logei,7,exact,False,noise-self_report_conf-r0,gaussian,1.0,0,50,0,1,2,1.027096714485386,0.4395946990389864,0.8507804787600376,61.86598130193448,1.2373196260386896,43.660380072390225,0.8910281647426577,1.1649933113834314,58.20043017358141,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744
785d9274-226b-4807-964f-8e65b3fc54cf,steering_law,value,logei,8,exact,True,noise-self_report,none,0.0,0,50,0,1,2,0.915042661577232,1.290353660914729,2.1516884294969785e-05,24.81740861057064,0.4963481722114128,4.214798765369301,0.08601630133406737,2.1516884294969785e-05,4.214798765369301,"x0,x1,x2,x3",0.5429242350906553,-0.5961920367987317,0.11917103463728212,-0.41580003273067595
