iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,150.11455992560036,476.65656116349055,330.8228282942322,-329.7513720112898,-239.8004581065295,448.2641344755143,-0.023973538340225708,-0.023973538340225708,-0.023973538340225708,0.0,False,True,0.0,ucb,0.0,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.023973538340225708,2.7778293539991963,2.7778293539991963,2.7778293539991963,2.7778293539991963,-0.023973538340225708,2.7778293539991963,griewank
2,-593.6816345213103,385.47410205931953,356.4833145024555,-38.47805658753509,-236.36108781682378,-265.88926547907204,-0.13761977935323588,-0.13761977935323588,-0.13761977935323588,0.0,False,True,0.0,ucb,0.0,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.023973538340225708,2.8914755950122064,5.669304949011403,2.7778293539991963,2.8346524745057016,-0.023973538340225708,2.7778293539991963,griewank
3,-294.1564948150505,-65.90843294082413,5.4579107495439985,64.19682248939091,594.6003401212713,351.1943030565037,0.562530482181455,0.562530482181455,0.562530482181455,0.0,False,True,0.0,ucb,0.0,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.191325333477516,7.860630282488919,2.191325333477516,2.620210094162973,0.562530482181455,2.191325333477516,griewank
4,146.61507532939515,586.752177218262,-341.62956211728124,-407.74555937058653,135.04752512763696,-547.26959044634,-0.9414791274515234,-0.9414791274515234,-0.9414791274515234,0.0,False,True,0.0,ucb,0.0,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,3.695334943110494,11.555965225599413,2.191325333477516,2.8889913063998534,0.562530482181455,2.191325333477516,griewank
5,-557.1836654716847,17.86658432564434,-40.55276960965307,500.6013278314226,155.07150538921258,16.94117591941665,0.5049409082286777,0.5049409082286777,0.5049409082286777,0.0,False,True,0.0,ucb,0.0,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.248914907430293,13.804880133029707,2.191325333477516,2.7609760266059413,0.562530482181455,2.191325333477516,griewank
6,-475.6793117894346,-158.36101014353704,600.0,481.1985334830775,-599.3912853127954,600.0,-3.2035030965783164,,-3.2035030965783164,0.0,False,True,,ucb,0.35756310005672276,False,True,-0.2983916489728934,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,5.957358912237288,19.762239045266995,2.191325333477516,3.293706507544499,0.562530482181455,2.191325333477516,griewank
7,-600.0,-383.07702404526555,-68.6822990962448,600.0,32.67394165492714,461.6320271049844,-1.390717414429854,-1.390717414429854,-1.390717414429854,0.0,False,True,0.0,ucb,0.33210940001299605,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,4.144573230088825,23.90681227535582,2.191325333477516,3.415258896479403,0.562530482181455,2.191325333477516,griewank
8,79.85582949904276,90.54182535203134,174.39332568845666,-223.05101797625173,505.8036288956971,600.0,0.03584411778397105,0.03584411778397105,0.03584411778397105,0.0,False,True,0.0,ucb,0.27759990002959967,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.7180116978749997,26.624823973230818,2.191325333477516,3.3281029966538522,0.562530482181455,2.191325333477516,griewank
9,-600.0,-22.805895158303485,-199.52869358111522,-478.7107233199985,600.0,-600.0,-2.392803709332396,-2.392803709332396,-2.392803709332396,0.0,False,True,0.0,ucb,0.5611175999511033,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,5.146659524991367,31.771483498222185,2.191325333477516,3.530164833135798,0.562530482181455,2.191325333477516,griewank
10,-434.73382561706694,262.1144057365511,324.4158678934512,301.13049112863933,390.46773816872593,346.7490738315124,-0.023534981463963614,-0.023534981463963614,-0.023534981463963614,0.0,False,True,0.0,ucb,0.5910164000233635,False,False,,7,f6c1eb40-dd5d-4c1f-ae46-a5fce765f681,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.562530482181455,2.7773907971229344,34.54887429534512,2.191325333477516,3.4548874295345122,0.562530482181455,2.191325333477516,griewank
