procedure,error_model,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,bootstrap_draws_kept,recovered_lo,recovered_hi
lucb_k4_rho0.5,pooled,,,20,200,0.8851622595885823,0.34512515477998845,0.011852961829854696,0.389900440333279,1.0,0.26202603168664745,0.5090577688677341
lucb_k4_rho1,pooled,,,20,200,0.8851622595885823,0.3408004964755069,0.011852961829854696,0.38501471654915426,1.0,0.25542596617855595,0.509754584346771
lucb_k8_rho0.5,pooled,,,20,200,0.8851622595885823,0.3967898837643865,0.018890864219211306,0.44826796382937956,1.0,0.32510569433319064,0.5619379772748238
lucb_k8_rho1,pooled,,,20,200,0.8851622595885823,0.38854561912528585,0.018890864219211306,0.43895411820413505,1.0,0.31744837021193284,0.5562133029896112
ordinal_lcb1,pooled,,,20,200,0.8851622595885823,0.4323444055041364,0.02401265842008592,0.4884352002367196,1.0,0.33867391266943714,0.6260167827249615
ordinal_pm,pooled,,,20,200,0.8851622595885823,0.4292572374634457,0.03130948312350494,0.4849475142139043,1.0,0.3304233922806586,0.6262698783633701
shortlist_m1,pooled,,,20,200,0.8851622595885823,0.2076429413789747,0.02108279419944272,0.23458178331675122,1.0,0.11027251166433533,0.3673755811746589
shortlist_m2,pooled,,,20,200,0.8851622595885823,0.3069095565144302,0.01630349706803252,0.3467268889853932,1.0,0.2130289219745298,0.46422483319645313
shortlist_m3,pooled,,,20,200,0.8851622595885823,0.3583199344271825,0.012711682758842078,0.40480706282453494,1.0,0.2731306210793297,0.5331625351929712
shortlist_m5,pooled,,,20,200,0.8851622595885823,0.4079888691336854,0.008477663806513037,0.46091986493336934,1.0,0.3341258035412515,0.5767728853112136
standard,pooled,,,20,200,0.8851622595885823,0.0,0.0,0.0,1.0,0.0,0.0
tournament_k4_lcb_rho0.5_look,pooled,,,20,200,0.8851622595885823,0.36411279778913985,0.01120368838084688,0.4113514712640111,1.0,0.28316602544894537,0.5346755332784083
tournament_k4_lcb_rho0.5_post,pooled,,,20,200,0.8851622595885823,0.17951536999161172,0.016753359632346924,0.20280504285739578,1.0,0.08510132756632806,0.31906682727477753
tournament_k4_lcb_rho1_look,pooled,,,20,200,0.8851622595885823,0.34900324005286026,0.01120368838084688,0.3942816543207284,1.0,0.271736831264097,0.5145607763087106
tournament_k4_lcb_rho1_post,pooled,,,20,200,0.8851622595885823,0.18054924680669582,0.016753359632346924,0.20397305109982203,1.0,0.08588333746125064,0.3185036913170884
tournament_k4_obs_rho0.5_look,pooled,,,20,200,0.8851622595885823,0.43098832012095,0.003967146604894363,0.48690318125545773,1.0,0.38242413494036187,0.5918320157477855
tournament_k4_obs_rho0.5_post,pooled,,,20,200,0.8851622595885823,0.14243031722184435,0.009427234178642748,0.1609087098765881,1.0,0.057048137584973596,0.27405437887230477
tournament_k4_obs_rho1_look,pooled,,,20,200,0.8851622595885823,0.42039558004000177,0.003967146604894363,0.4749361775042227,1.0,0.35670387911397833,0.5831404862406143
tournament_k4_obs_rho1_post,pooled,,,20,200,0.8851622595885823,0.14392581904732907,0.009427234178642748,0.1625982326836041,1.0,0.05806767216114113,0.2742391175948242
tournament_k8_lcb_rho0.5_look,pooled,,,20,200,0.8851622595885823,0.45070998093477455,0.015643037271061495,0.509183458798008,1.0,0.39227776141205983,0.6172690711073124
tournament_k8_lcb_rho0.5_post,pooled,,,20,200,0.8851622595885823,0.15572510468705067,0.027930776790353818,0.1759283148373618,1.0,0.061198148891784813,0.27838531324476434
tournament_k8_lcb_rho1_look,pooled,,,20,200,0.8851622595885823,0.4383553868885824,0.015643037271061495,0.4952260245396444,1.0,0.3826585657045806,0.601649239628128
tournament_k8_lcb_rho1_post,pooled,,,20,200,0.8851622595885823,0.15372298164653123,0.027930776790353818,0.1736664436167677,1.0,0.059687803078088235,0.27541459775597915
tournament_k8_obs_rho0.5_look,pooled,,,20,200,0.8851622595885823,0.5957443349898538,0.011608827405359411,0.6730340437997796,1.0,0.5607955232627932,0.7702227142329364
tournament_k8_obs_rho0.5_post,pooled,,,20,200,0.8851622595885823,0.16289913377898643,0.02258074747855365,0.1840330764380995,1.0,0.08770901728490749,0.28130268904322614
tournament_k8_obs_rho1_look,pooled,,,20,200,0.8851622595885823,0.5760095074575435,0.011608827405359411,0.6507388913364529,1.0,0.534847011799766,0.738576831076182
tournament_k8_obs_rho1_post,pooled,,,20,200,0.8851622595885823,0.16128974465298881,0.02258074747855365,0.18221489100535673,1.0,0.08673458349691579,0.28058749425660556
lucb_k4_rho0.5,spike,0.25,0.0,20,200,0.8851622595885823,0.34512515477998845,0.011852961829854696,0.389900440333279,1.0,0.25763469157290847,0.5121012896781156
lucb_k4_rho1,spike,0.25,0.0,20,200,0.8851622595885823,0.3408004964755069,0.011852961829854696,0.38501471654915426,1.0,0.26105242818306557,0.5158862417318953
