dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,10,slip,0.01,0,rerate3x2,50,10,0.01,6.0,False,1.6
ackley,logei,10,slip,0.01,0,rerate3x2,50,25,0.01,17.0,False,1.68
ackley,logei,10,slip,0.05,0,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,10,slip,0.05,0,rerate3x2,50,25,0.01,30.0,True,2.2
ackley,logei,10,slip,0.15,0,rerate3x2,50,10,0.01,-5.0,False,0.5
ackley,logei,10,slip,0.15,0,rerate3x2,50,25,0.01,30.0,True,2.2
ackley,logei,10,slip,0.4,0,rerate3x2,50,10,0.01,5.0,False,1.5
ackley,logei,10,slip,0.4,0,rerate3x2,50,25,0.01,30.0,True,2.2
ackley,logei,10,slip,0.01,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,10,slip,0.01,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,10,slip,0.05,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,10,slip,0.05,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,10,slip,0.15,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,10,slip,0.15,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,10,slip,0.4,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,10,slip,0.4,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,11,slip,0.01,0,rerate3x2,50,10,0.01,10.0,False,2.0
ackley,logei,11,slip,0.01,0,rerate3x2,50,25,0.01,-3.0,False,0.88
ackley,logei,11,slip,0.05,0,rerate3x2,50,10,0.01,2.0,False,1.2
ackley,logei,11,slip,0.05,0,rerate3x2,50,25,0.01,-11.0,False,0.56
ackley,logei,11,slip,0.15,0,rerate3x2,50,10,0.01,10.0,False,2.0
ackley,logei,11,slip,0.15,0,rerate3x2,50,25,0.01,-3.0,False,0.88
ackley,logei,11,slip,0.4,0,rerate3x2,50,10,0.01,-4.0,False,0.6
ackley,logei,11,slip,0.4,0,rerate3x2,50,25,0.01,-17.0,False,0.32
ackley,logei,11,slip,0.01,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,11,slip,0.01,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,11,slip,0.05,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,11,slip,0.05,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,11,slip,0.15,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,11,slip,0.15,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,11,slip,0.4,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,11,slip,0.4,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,7,slip,0.01,0,rerate3x2,50,10,0.01,-4.0,False,0.6
ackley,logei,7,slip,0.01,0,rerate3x2,50,25,0.01,25.0,False,2.0
ackley,logei,7,slip,0.05,0,rerate3x2,50,10,0.01,1.0,False,1.1
ackley,logei,7,slip,0.05,0,rerate3x2,50,25,0.01,29.0,True,2.16
ackley,logei,7,slip,0.15,0,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,7,slip,0.15,0,rerate3x2,50,25,0.01,29.0,True,2.16
ackley,logei,7,slip,0.4,0,rerate3x2,50,10,0.01,42.0,True,5.2
ackley,logei,7,slip,0.4,0,rerate3x2,50,25,0.01,29.0,True,2.16
ackley,logei,7,slip,0.01,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,7,slip,0.01,20,rerate3x2,50,25,0.01,0.0,False,1.0
ackley,logei,7,slip,0.05,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,7,slip,0.05,20,rerate3x2,50,25,0.01,29.0,True,2.16
ackley,logei,7,slip,0.15,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,7,slip,0.15,20,rerate3x2,50,25,0.01,29.0,True,2.16
ackley,logei,7,slip,0.4,20,rerate3x2,50,10,0.01,0.0,False,1.0
ackley,logei,7,slip,0.4,20,rerate3x2,50,25,0.01,29.0,True,2.16
