dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
weber_fechner,value,logei,0.4,1.4,0.13951546155990313,14.84170451820319,0.0,2,4
weber_fechner,value,qnei,0.6,1.6,0.13490916922951218,14.671793156794955,0.0,2,4
