arm,procedure,error_model,family,k,candidates,rho,winner,scope,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,0.0,20,200,0.006019024042053409,-0.026887354299413285,0.019179242850720667,-4.467062120296927,-51.133004605105086,-0.8613070655233015,0.010843698055191907,0.08674958444153526
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,20.0,20,200,0.0034748877241901053,-0.029029475240276454,0.019179242850720667,-8.3540757412651,-85.42649677859582,-0.5489585922059808,0.33413808059574546,0.44551744079432726
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.25,0.0,20,200,0.0525171889089013,-0.013650491548156018,0.019179242850720667,-0.2599242615943283,-0.5511369068201836,-0.06899480938183579,0.03638546131456511,0.14554184525826044
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.25,20.0,20,200,0.04002168336187528,-0.010524366875629161,0.019179242850720667,-0.26296662188014536,-0.62719011616895,0.021131657155379395,0.26109886169433594,0.443768310546875
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,1.0,0.0,20,200,0.25211626310291996,-0.00413205174097019,0.019179242850720667,-0.01638946924769937,-0.11163714640453834,0.07631191214167493,0.7285060882568359,0.8325783865792411
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,1.0,20.0,20,200,0.13089312859367422,0.0016624140638255868,0.019179242850720667,0.012700544953632712,-0.15948609710495865,0.17295933796795912,0.956329345703125,0.956329345703125
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,5.0,0.0,20,200,0.7163745326954236,-0.041126332129604815,0.019179242850720667,-0.057408981269704396,-0.1741266817385204,0.03843332532697253,0.2773551940917969,0.443768310546875
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,5.0,20.0,20,200,0.5340938270581989,0.11747595200544722,0.019179242850720667,0.21995377226602203,0.02354524438553367,0.4011170257198723,0.11398696899414062,0.3039652506510417
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,pooled,,,20,1600,0.2169388169359045,-0.0007764632205971469,0.019179242850720677,-0.003579180672062742,-0.10396574355895573,0.10080395415764974,0.6215133666992188,
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,0.05,0.0,20,200,0.006019024042053409,-0.012494483324196141,0.00843352346802268,-2.075832101167951,-26.78366034797028,-0.19607722019184837,0.09798930270791739,0.19597860541583478
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,0.05,20.0,20,200,0.0034748877241901053,-0.006300130330109008,0.00843352346802268,-1.813045724111096,-17.68997734930642,-0.17293521008260598,0.040135536373545506,0.16054214549418203
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,0.25,0.0,20,200,0.0525171889089013,-0.009894817997468172,0.00843352346802268,-0.18841103652048424,-0.44393946361165815,-0.003106595422125722,0.08355636667535958,0.19597860541583478
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,0.25,20.0,20,200,0.04002168336187528,-0.0012006888926963549,0.00843352346802268,-0.030000959275994197,-0.20797454525125955,0.11523149871965169,0.8983173370361328,0.9854354858398438
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,1.0,0.0,20,200,0.25211626310291996,0.0005238963340974421,0.00843352346802268,0.002077994999805209,-0.0949461629725274,0.08366247400999285,0.8123550415039062,0.9854354858398438
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,1.0,20.0,20,200,0.13089312859367422,0.009032944799175673,0.00843352346802268,0.06901007635944165,-0.027600199592646157,0.15320784255044026,0.26109886169433594,0.4177581787109375
output-boba,rerate3x2,gaussian,rerate,6.0,,,,cell,5.0,0.0,20,200,0.7163745326954236,-0.003662508571935044,0.00843352346802268,-0.005112561104251607,-0.15177064020264786,0.11070850672424186,0.9854354858398438,0.9854354858398438
