arm,procedure,error_model,family,k,candidates,rho,winner,scope,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,0.05,0.0,20,400,0.006281835117049281,-0.022025561076075423,0.020295044258414482,-3.5062303714875793,-35.05329896828033,-0.7023168887400245,0.01980910968997144,0.05282429250659051
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,0.05,20.0,20,400,0.00059179573919758,-0.01956373864521773,0.020295044258414482,-33.05826208168437,-145.1391959369409,-1.2042339789177887,0.0442084385246971,0.0884168770493942
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,0.25,0.0,20,400,0.038895955010831346,-0.014136427037517385,0.020295044258414482,-0.36344208629357005,-1.1942184474985393,-0.007480629165218477,0.4688451964332785,0.5358230816380326
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,0.25,20.0,20,400,0.02581445195460027,-0.01869648165011427,0.020295044258414482,-0.724264132471054,-1.9476709827872705,-0.11393486903489126,0.2305126190185547,0.30735015869140625
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,1.0,0.0,20,400,0.20857717698158992,0.001076148123460688,0.020295044258414482,0.005159472091022088,-0.09091059331817691,0.09270736574378902,0.8983173370361328,0.8983173370361328
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,1.0,20.0,20,400,0.13812654273973599,0.017209767571095123,0.020295044258414482,0.12459421071243716,-0.02086606157095149,0.24400856542881683,0.1230926513671875,0.1969482421875
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,5.0,0.0,20,400,0.7593282188139565,0.10078382683538907,0.020295044258414482,0.13272761941181352,0.05800727747349171,0.202109829816549,0.0031528472900390625,0.0252227783203125
output-boba,confirm_k2,ar1,confirmation,2.0,,,,cell,5.0,20.0,20,400,0.46724670015656605,0.07591755788277713,0.020295044258414482,0.1624785319133094,0.06854921154264948,0.2485070837729223,0.012079238891601562,0.04831695556640625
output-boba,confirm_k2,ar1,confirmation,2.0,,,,pooled,,,20,3200,0.20560783456419088,0.01507063650047465,0.020295044258414486,0.07329796810719091,0.0038576454500917254,0.13321747930156794,0.0758514404296875,
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,0.05,0.0,20,400,0.008864662949424779,-0.02803459515456331,0.020295044258414482,-3.162511120220589,-16.003070725473737,-0.9906900294897302,0.06414936248047728,0.35370635986328125
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,0.05,20.0,20,400,0.008679782566793356,-0.017810763215916244,0.020295044258414482,-2.0519826480510814,-12.32156590550562,-0.33550439523741443,0.1262141495490598,0.35370635986328125
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,0.25,0.0,20,400,0.048911599853312684,-0.014625360744635335,0.020295044258414482,-0.2990162004207022,-0.7174269002927242,-0.013760863256825899,0.29542405582364173,0.39389874109818895
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,0.25,20.0,20,400,0.041895916857380436,-0.015851458882317288,0.020295044258414482,-0.3783533115238383,-0.9751397513313077,0.02200339342088524,0.17685317993164062,0.35370635986328125
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,1.0,0.0,20,400,0.26122805805488003,0.004436244540219103,0.020295044258414482,0.01698226665715639,-0.06831151968746038,0.1013192970107219,0.9854354858398438,0.9854354858398438
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,1.0,20.0,20,400,0.1654331109919233,-0.012205058658533224,0.020295044258414482,-0.0737763957006714,-0.18945616044051367,0.04046593833835121,0.34881019592285156,0.39864022391183035
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,5.0,0.0,20,400,0.764117841052533,0.03736981490974161,0.020295044258414482,0.04890582695761509,-0.017487681274985904,0.11843303900545168,0.2942523956298828,0.39389874109818895
output-boba,confirm_k2,bias,confirmation,2.0,,,,cell,5.0,20.0,20,400,0.5580073836888795,0.06859638394958656,0.020295044258414482,0.12293096104949196,-0.015516958241660026,0.23678834758353684,0.17685317993164062,0.35370635986328125
output-boba,confirm_k2,bias,confirmation,2.0,,,,pooled,,,20,3200,0.2321422945018909,0.0027344008429477525,0.020295044258414486,0.011778986025855274,-0.07605927814734169,0.1006562412606781,0.7841262817382812,
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,0.05,0.0,20,400,0.00516009014738544,-0.021462606196051816,0.020295044258414482,-4.159347139880237,-43.715391037053564,-0.7851545766939421,0.06414936248047728,0.08553248330730305
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,0.05,20.0,20,400,0.004874582161159622,-0.022285977273753296,0.020295044258414482,-4.571874375475015,-39.21141534957999,-1.1240116444331019,0.05340584148798349,0.08544934638077359
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,0.25,0.0,20,400,0.04992855236370636,-0.020850463005514915,0.020295044258414482,-0.417605999341398,-0.9323812013894685,-0.1139061625375989,0.017181396484375,0.0687255859375
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,0.25,20.0,20,400,0.03449940097865165,-0.0141701149179118,0.020295044258414482,-0.41073510020305326,-1.0625402584336667,-0.031165495436012748,0.16495704650878906,0.16495704650878906
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,1.0,0.0,20,400,0.26734125192276154,-0.023732593830279352,0.020295044258414482,-0.08877265913730371,-0.17547219560621882,-0.018852984802915446,0.03276824951171875,0.08544934638077359
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,1.0,20.0,20,400,0.16506780970017,-0.008894329847944808,0.020295044258414482,-0.053882885246375495,-0.13922967343906006,0.036496408414137725,0.15364646911621094,0.16495704650878906
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,5.0,0.0,20,400,0.7573345537311486,0.05988727115933099,0.020295044258414482,0.0790763749841933,0.000995996558939697,0.1417984346618937,0.04405403137207031,0.08544934638077359
output-boba,confirm_k2,drift,confirmation,2.0,,,,cell,5.0,20.0,20,400,0.6370517359749459,0.18657456237959494,0.020295044258414482,0.29287191580140765,0.14554940722473234,0.42589038702495047,0.0010166168212890625,0.0081329345703125
output-boba,confirm_k2,drift,confirmation,2.0,,,,pooled,,,20,3200,0.24015724712249115,0.016883218558433742,0.020295044258414486,0.07030068324285267,-0.012736146622056748,0.15482625488040505,0.4523754119873047,
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,0.0,20,400,0.0064776539925258695,-0.02466710046805822,0.020295044258414482,-3.8080299590746796,-27.231584173810685,-0.8976642755782411,0.022231238286019243,0.09580230712890625
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.05,20.0,20,400,0.001695114818690873,-0.029520353868302835,0.020295044258414482,-17.414958292383538,-109.0817993352917,-1.2938815014212204,0.11654426427752808,0.27299542113774555
output-boba,confirm_k2,gaussian,confirmation,2.0,,,,cell,0.25,0.0,20,400,0.04763716577923163,-0.009157595142248351,0.020295044258414482,-0.1922363556364385,-0.4912860297747254,0.001519059635413513,0.13649771056887278,0.27299542113774555
