dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
hicks_law,value,exact,gaussian,0,0.05,noise-self_report,logei,auc_simple_regret_excess_true,5,0.3721419549926047,0.0896164927086538,0.932061781138115,0.3992674761732987,-0.7851656027482689,1.5294495127334784,-0.5387639866523972,1.2938339369264762,0.8927892179282735,0.42242762968948194,4.0,0.4375,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,0.05,noise-self_report,qnei,auc_simple_regret_excess_true,5,0.06069352064661047,-0.05608024294468805,2.3399204000412386,0.025938284330330557,-2.8447013987471452,2.966088440040366,-0.8523118927969858,0.9010764519367764,0.05799976698233673,0.956530633749702,5.0,0.625,0.956530633749702,0.625
hicks_law,value,exact,gaussian,0,0.25,noise-self_report,logei,auc_simple_regret_excess_true,5,2.0896978189057145,1.0109375861352348,4.635475217938759,0.45080552061174284,-3.666004873774589,7.845400511586018,-0.5000427979654408,1.3538200723961449,1.0080317887200396,0.3704665510387689,4.0,0.4375,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,0.25,noise-self_report,qnei,auc_simple_regret_excess_true,5,-1.2603734738979782,-0.8032312167448268,2.9642774476896645,-0.42518741789177117,-4.941010061381576,2.42026311358562,,,-0.9507479695836106,0.39557005420749325,5.0,0.625,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,1.0,noise-self_report,logei,auc_simple_regret_excess_true,5,5.599304476542498,8.577846613690234,8.713341561086626,0.6426127608205707,-5.2197380439113505,16.41834699699635,-0.363936649387197,1.5884708475894556,1.4369258164036096,0.22410028696424614,3.0,0.3125,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,1.0,noise-self_report,qnei,auc_simple_regret_excess_true,5,1.7263377171038166,3.1186978305242334,4.861935301622105,0.3550721286907813,-4.31055230851631,7.7632277427239424,-0.5727661953663794,1.2434822697238763,0.7939654166681404,0.471658197472788,5.0,0.625,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,5.0,noise-self_report,logei,auc_simple_regret_excess_true,5,49.465433461968615,33.760456272870215,56.596035885373496,0.8740088009371043,-20.80782673794795,119.73869366188518,-0.21398851768614036,1.8927618594038274,1.9543430918284472,0.12234589162168523,2.0,0.1875,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,0,5.0,noise-self_report,qnei,auc_simple_regret_excess_true,5,12.387961238955327,5.303537714726765,22.124265178581393,0.5599264490351603,-15.082942320002356,39.858864797913014,-0.4211480068747073,1.4851857556753416,1.2520336024426901,0.2787715978655176,3.0,0.3125,0.5390379399689006,0.625
hicks_law,value,exact,gaussian,20,0.05,noise-self_report,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,0.05,noise-self_report,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,0.25,noise-self_report,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,0.25,noise-self_report,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,1.0,noise-self_report,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,1.0,noise-self_report,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,5.0,noise-self_report,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,gaussian,20,5.0,noise-self_report,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
