iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,6.2509546660466695,8.972138009695755,-2.635298307825418,-2.6219057376119848,True,0.01339257021343343,pi,0.0,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,-2.635298307825418,3.8853537737254866,3.8853537737254866,3.8853537737254866,3.8853537737254866,-2.635298307825418,3.8853537737254866,branin
2,7.756856902451935,2.2520718999059186,0.7134044527822333,0.4500362769478573,True,-0.263368175834376,pi,0.0,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,0.5366510131178354,4.422004786843322,0.5366510131178354,2.211002393421661,0.7134044527822333,0.5366510131178354,branin
3,3.0016628491122543,8.735534453962618,-0.6835380964216702,-0.6497537806038326,True,0.033784315817837585,pi,0.0,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,1.9335935623217388,6.355598349165061,0.5366510131178354,2.1185327830550205,0.7134044527822333,0.5366510131178354,branin
4,0.052653045655747244,8.212284183827663,0.07937030695160363,0.5619410350466916,True,0.48257072809508794,pi,0.0,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,1.170685158948465,7.526283508113526,0.5366510131178354,1.8815708770283814,0.07937030695160363,1.170685158948465,branin
5,7.9706942875204625,4.679349528437208,0.3668038190773655,0.0778603519740712,True,-0.28894346710329427,pi,0.0,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,0.8832516468227032,8.40953515493623,0.5366510131178354,1.681907030987246,0.07937030695160363,1.170685158948465,branin
6,0.1866287488120555,7.241263048247245,0.2263572776848898,0.21975611274873924,True,-0.006601164936150566,pi,0.2033162000006996,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,1.0236981882151788,9.433233343151407,0.5366510131178354,1.5722055571919011,0.07937030695160363,1.170685158948465,branin
7,0.0,8.9624453384943,-0.08904601915781206,-0.18118614455656024,True,-0.09214012539874818,pi,0.16940139996586367,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,1.3391014850578806,10.772334828209289,0.5366510131178354,1.5389049754584698,0.07937030695160363,1.170685158948465,branin
8,0.685292127025876,7.811089812495239,0.04840776142958841,-0.15608294608081807,True,-0.2044907075104065,pi,0.2525815999833867,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,1.2016477044704803,11.973982532679768,0.5366510131178354,1.496747816584971,0.07937030695160363,1.170685158948465,branin
9,7.957559519422813,3.167876374004397,0.7073485751448954,0.8519391528763502,True,0.1445905777314549,pi,0.14062009996268898,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,0.7134044527822333,0.5427068907551733,12.516689423434942,0.5366510131178354,1.390743269270549,0.7073485751448954,0.5427068907551733,branin
10,8.652432607729084,2.905457281527839,1.0713440395689713,0.7481836967522641,True,-0.32316034281670714,pi,0.22200680000241846,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.0713440395689713,0.17871142633109738,12.695400849766038,0.17871142633109738,1.2695400849766039,0.7073485751448954,0.5427068907551733,branin
11,8.513610300470392,3.940107081961811,0.855724722210183,1.0789091066174912,True,0.22318438440730815,pi,0.18276390002574772,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.0713440395689713,0.39433074368988563,13.089731593455923,0.17871142633109738,1.189975599405084,0.855724722210183,0.39433074368988563,branin
12,9.292106263262612,3.8975870316530603,1.1336585017384184,1.0224138033136156,True,-0.11124469842480278,pi,0.19346640002913773,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1336585017384184,0.11639696416165024,13.206128557617573,0.11639696416165024,1.1005107131347978,0.855724722210183,0.39433074368988563,branin
13,9.057332990436569,4.70630540445417,0.9145381114099151,0.453545469173287,True,-0.46099264223662817,pi,0.26813789998413995,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1336585017384184,0.3355173544901535,13.541645912107727,0.11639696416165024,1.0416650701621328,0.855724722210183,0.39433074368988563,branin
14,6.169263287876518,1.9271462563492714,0.30104670806061334,-0.061533699032244094,True,-0.36258040709285744,pi,0.24769649998052046,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1336585017384184,0.9490087578394553,14.490654669947183,0.11639696416165024,1.0350467621390844,0.855724722210183,0.39433074368988563,branin
15,7.4400868525733745,0.30097148195075585,0.5569912085879013,0.9605496036854186,True,0.40355839509751734,pi,0.23773509997408837,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1336585017384184,0.6930642573121674,15.183718927259351,0.11639696416165024,1.0122479284839567,0.855724722210183,0.39433074368988563,branin
16,8.769632875327682,1.8696186909610926,1.1543507964159243,1.1843976688057543,True,0.03004687238982995,pi,0.14503349998267367,False,False,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1543507964159243,0.09570466948414436,15.279423596743495,0.09570466948414436,0.9549639747964684,1.1543507964159243,0.09570466948414436,branin
17,8.916500480262972,1.102781435582454,1.1462931856789265,1.3729841189177256,True,0.22669093323879919,pi,0.15778020001016557,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1543507964159243,0.1037622802211422,15.383185876964637,0.09570466948414436,0.9048932868802728,1.1462931856789265,0.1037622802211422,branin
18,9.287794756372222,0.3787132918277003,1.0575255093224554,1.3868979193230535,True,0.32937241000059814,pi,0.14348799997242168,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1543507964159243,0.1925299565776133,15.575715833542251,0.09570466948414436,0.8653175463079028,1.0575255093224554,0.1925299565776133,branin
19,9.89325022872121,1.3449914542988295,1.0850393576362771,1.1154552435404013,True,0.03041588590412414,pi,0.13419320003595203,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1543507964159243,0.16501610826379154,15.740731941806043,0.09570466948414436,0.8284595758845286,1.0575255093224554,0.1925299565776133,branin
20,8.410672991379732,0.5122617028568044,0.9597167951705017,0.6202876307253621,True,-0.3394291644451396,pi,0.19421230000443757,False,True,7,a8df2f2c-510f-4f96-a61e-fb93a8e5017e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1543507964159243,0.290338670729567,16.03107061253561,0.09570466948414436,0.8015535306267806,1.0575255093224554,0.1925299565776133,branin
