dataset,objective,acquisition,error_model,jitter_iteration,jitter_std,oracle_model,delta_excess_l2_norm_mean,final_simple_regret_excess_true_mean,final_cum_regret_excess_true_mean,final_avg_regret_excess_true_mean,auc_simple_regret_excess_true_mean,delta_excess_l2_norm_std,final_simple_regret_excess_true_std,final_cum_regret_excess_true_std,final_avg_regret_excess_true_std,auc_simple_regret_excess_true_std,runs
all,composite,qnei,gaussian,0,1.008144,gradient_boosting,0.0,0.08843762815735415,-3.9468491459198787,-0.0789369829183976,0.17894839147584776,0.0,0.327526295816808,10.5299812792174,0.21059962558434786,11.339201963482017,5
all,composite,qnei,gaussian,0,5.04072,gradient_boosting,0.0,0.312149531519125,45.369730827953134,0.9073946165590627,7.97943806196849,0.0,0.269774143550396,25.657425723288405,0.5131485144657679,7.079217684521206,5
all,composite,random,gaussian,0,0.252036,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,random,gaussian,0,1.008144,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,random,gaussian,0,5.04072,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,0.252036,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,1.008144,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,sobol,gaussian,0,5.04072,gradient_boosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
all,composite,ucb,gaussian,0,0.252036,gradient_boosting,0.0,0.1767219550663733,9.576050115221857,0.19152100230443714,0.9822477071588664,0.0,0.22608234394116875,25.06203403502588,0.5012406807005176,6.81372949290527,5
all,composite,ucb,gaussian,0,1.008144,gradient_boosting,0.0,0.24510937824665752,10.080462336372614,0.20160924672745234,-0.1541481748230879,0.0,0.3525030365482836,28.89798505634756,0.5779597011269512,11.490534163892733,5
all,composite,ucb,gaussian,0,5.04072,gradient_boosting,0.0,0.2988668688437218,25.727283954182372,0.5145456790836473,1.297732810677519,0.0,0.3786665546843702,23.33640468856199,0.46672809377123975,10.704548907548338,5
