dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_Trajectory,delta_excess_TrajectoryAlpha,delta_excess_TrajectorySize,delta_excess_EgoTrajectory,delta_excess_EgoTrajectoryAlpha,delta_excess_EgoTrajectorySize,delta_excess_PedestrianIntention,delta_excess_PedestrianIntentionSize,delta_excess_SemanticSegmentation,delta_excess_SemanticSegmentationAlpha,delta_excess_CarStatus,delta_excess_CarStatusAlpha,delta_excess_CoveredArea,delta_excess_CoveredAreaAlpha,delta_excess_CoveredAreaSize,delta_excess_OccludedCars,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
opticarvis,composite,logei,gradient_boosting,gaussian,0.018685,0,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962790170789287,2.29445207401713,0.04588904148034256,-1.2495508946863936
opticarvis,composite,logei,gradient_boosting,gaussian,0.018685,20,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",-0.0018009276317273448,-0.006588020591319299,-0.0013953151981034306,9.486050989604422e-05,0.0012462201362726244,0.008294010128288343,-0.0009105214494861125,-0.0021600147995440855,0.00025536656498409416,0.0,0.0,-0.0010559332692165468,-1.6588401725192714e-05,0.0005730860731439635,-0.000669630448761005,0.007290161446257382,0.013399380932320938,0.3731121102251391,2.4417442150752606,0.04883488430150518,3.1542050563929536
opticarvis,composite,logei,gradient_boosting,gaussian,0.093427,0,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.117001477675596,-26.75335483356656,-0.5350670966713311,-30.222742696723316
opticarvis,composite,logei,gradient_boosting,gaussian,0.093427,20,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",-0.0029122873867788446,0.0006692946939567679,-0.004072742136384311,-0.0009805691774408265,0.0012406870723962737,0.00033108804934101066,-0.002321358438247878,-0.002624940659181396,0.00038941472089021323,0.0,0.0,-0.002283596092271467,0.0005428216027988375,0.00043767717561296604,-0.002870155263943519,-0.00011554124868518034,0.007383080140574434,0.17892925044626917,0.3194673279374456,0.006389346558748343,-2.0049872027237825
opticarvis,composite,logei,gradient_boosting,gaussian,0.373709,0,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008823419260862941,-7.119608307009315,-0.14239216614018613,-9.16100514006746
opticarvis,composite,logei,gradient_boosting,gaussian,0.373709,20,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",-0.02601125739786947,0.06403453778254048,0.013385580900456495,-0.04200971028362577,-0.002040605061280787,-0.12521231244663777,-0.015735813162522594,0.06025672113013625,0.005410485819224431,0.0,0.0,-0.024848507335148373,0.004316933729059946,-0.029850396624197306,-0.05808672554461819,0.012404234739520459,0.17710479689180333,-0.6210773012108071,-16.31164936890687,-0.32623298737813755,-17.398539698133362
opticarvis,composite,logei,gradient_boosting,gaussian,1.868543,0,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6329323501894439,5.186277257033055,0.10372554514066046,6.899942237325661
opticarvis,composite,logei,gradient_boosting,gaussian,1.868543,20,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.37021921343519504,-0.4025603539665042,0.013385580900456495,0.25616999702140175,-0.25449261956602975,0.43754345530631145,-0.2067818141489431,0.06025672113013625,-0.41694639680539936,0.0,0.0,0.3180376544822447,-0.22006107277446033,0.04454503601436899,0.10422773197122248,-0.96478346697259,1.3908967061750146,0.3135499464376963,14.898159616981616,0.2979631923396324,6.299704844984859
opticarvis,composite,qnei,gradient_boosting,gaussian,0.018685,0,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5628157063266714,-6.3194692064960805,-0.1263893841299213,-7.352110812391459
opticarvis,composite,qnei,gradient_boosting,gaussian,0.018685,20,8,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",-0.007646312646806042,0.11204533470666433,-0.02920421645466209,-0.010834129133814374,-0.0016332611323715829,-0.03831297808173195,-0.01921213738848837,-0.009493857437085862,-0.0025156081648355366,0.03573570999477962,0.0,-0.012962646337280531,0.008008601489479461,0.0014176138041214065,-0.026809432726562887,0.0,0.13322526632023723,-0.9063460339140743,-2.1620100082758427,-0.04324020016551611,-2.2778123470163507
