dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
eggholder,value,qnei,0.19999999999999996,1.2,-0.11488210953683896,45.448334854762905,0.0,2,2
eggholder,value,logei,0.8,1.8,0.21863943427252083,58.52730254660109,0.0,0,2
