model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters
mediator_only,const,0.37249780001024724,0.23498200807104605,0.498755863789484,0.0005,2000,0.6801003797295522,160,20
mediator_only,frag_at_c,0.7401767122663561,0.3288419731971713,0.885339542541445,0.0005,2000,0.6801003797295522,160,20
mediator_only,onset_20,-0.14228803249702415,-0.2962070252757619,-0.010003054722676215,0.033,2000,0.6801003797295522,160,20
descriptors_only,const,0.37249780001024724,0.2627111660996265,0.4567982580052652,0.0005,2000,0.3519238544716027,160,20
descriptors_only,log_noise,0.3666490314140382,0.14193276755964665,0.6565084591940572,0.0005,2000,0.3519238544716027,160,20
descriptors_only,dim,0.0037670944921019116,-0.026994386053909195,0.14710176280602205,0.743,2000,0.3519238544716027,160,20
descriptors_only,log_opt_z,0.35763037498091754,0.1804060819474613,0.3891772696361321,0.0005,2000,0.3519238544716027,160,20
descriptors_only,ruggedness,-0.030156702550025283,-0.14346412441213624,0.051130488825130035,0.445,2000,0.3519238544716027,160,20
descriptors_only,log_tail_ratio,0.1316353322975991,0.03052954270204551,0.17658493861208516,0.007,2000,0.3519238544716027,160,20
descriptors_only,onset_20,-0.14228803249702474,-0.29620702527576204,-0.010003054722674803,0.033,2000,0.3519238544716027,160,20
both,const,0.3724978000102475,0.26701339898944704,0.4587546467071267,0.0005,2000,0.7443237662693014,160,20
both,frag_at_c,0.8278837860725916,0.36944711477179204,0.9090862467449867,0.0005,2000,0.7443237662693014,160,20
both,log_noise,-0.1805731695145957,-0.22683232119289937,-0.03387613157672728,0.005,2000,0.7443237662693014,160,20
both,dim,0.0020092591280594287,-0.03433450989846575,0.15139545735041768,0.837,2000,0.7443237662693014,160,20
both,log_opt_z,0.08796870431888587,-0.025864618166998376,0.17602013545698075,0.097,2000,0.7443237662693014,160,20
both,ruggedness,0.0027693229377052132,-0.10744206727251063,0.09266240091405156,0.764,2000,0.7443237662693014,160,20
both,log_tail_ratio,0.1318664585482076,0.020651482227140614,0.188746780696667,0.014,2000,0.7443237662693014,160,20
both,onset_20,-0.1422880324970253,-0.2962070252757619,-0.010003054722676052,0.033,2000,0.7443237662693014,160,20
descriptors_interaction,const,0.3724978000102471,0.2627111660996265,0.45679825800526624,0.0005,2000,0.7429657285747955,160,20
descriptors_interaction,log_noise,-0.16638003069562132,-0.3855098869595862,0.06344006665051255,0.275,2000,0.7429657285747955,160,20
descriptors_interaction,dim,0.0037670944921018405,-0.0269943860539095,0.14710176280602144,0.743,2000,0.7429657285747955,160,20
descriptors_interaction,log_opt_z,0.5783130207378412,0.25555614075840166,0.6579957497576248,0.0005,2000,0.7429657285747955,160,20
descriptors_interaction,ruggedness,-0.030156702550025227,-0.143464124412133,0.05113048882513011,0.445,2000,0.7429657285747955,160,20
descriptors_interaction,log_tail_ratio,0.13163533229759966,0.03052954270204588,0.1765849386120871,0.007,2000,0.7429657285747955,160,20
descriptors_interaction,noise_x_opt_z,0.902211174432497,0.25946451668973003,1.1593728447912839,0.0005,2000,0.7429657285747955,160,20
descriptors_interaction,log_noise_sq,0.22049796767672586,0.0843350280358685,0.38935401633204353,0.0005,2000,0.7429657285747955,160,20
descriptors_interaction,onset_20,-0.14228803249702465,-0.2962070252757626,-0.010003054722675476,0.033,2000,0.7429657285747955,160,20
both_interaction,const,0.37249780001024696,0.26618743642281867,0.46000088942520523,0.0005,2000,0.8121858008205425,160,20
both_interaction,frag_at_c,0.5862985634343847,0.3074136140103434,0.7014984982223957,0.0005,2000,0.8121858008205425,160,20
both_interaction,log_noise,-0.41806477590028246,-0.6264048906862292,-0.05527053034201918,0.001,2000,0.8121858008205425,160,20
both_interaction,dim,0.0025222140317882266,-0.03246218711790867,0.14835516751171637,0.815,2000,0.8121858008205425,160,20
both_interaction,log_opt_z,0.2826692020528674,0.05182080304405509,0.3836070082159131,0.014,2000,0.8121858008205425,160,20
both_interaction,ruggedness,-0.0068388386567864445,-0.11766914695578827,0.08463793557583277,0.933,2000,0.8121858008205425,160,20
both_interaction,log_tail_ratio,0.13179901346998527,0.021831252659857876,0.18520157884017294,0.014,2000,0.8121858008205425,160,20
both_interaction,noise_x_opt_z,0.4742822367683984,0.04379550829917495,0.7339258682262999,0.01,2000,0.8121858008205425,160,20
both_interaction,log_noise_sq,-0.05139577946592333,-0.09081831313378748,0.025871623935684696,0.224,2000,0.8121858008205425,160,20
both_interaction,onset_20,-0.14228803249702462,-0.2962070252757625,-0.010003054722676225,0.033,2000,0.8121858008205425,160,20
