dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,11,gaussian,0.25,20,rep10,50,25,0.01,20.0,False,1.8
ackley,logei,11,gaussian,1.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,11,gaussian,1.0,20,rep10,50,25,0.01,15.0,False,1.6
ackley,logei,11,gaussian,5.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,11,gaussian,5.0,20,rep10,50,25,0.01,30.0,True,2.2
ackley,logei,7,gaussian,0.05,0,rep10,50,10,0.01,6.0,False,1.6
ackley,logei,7,gaussian,0.05,0,rep10,50,25,0.01,29.0,False,2.16
ackley,logei,7,gaussian,0.25,0,rep10,50,10,0.01,-2.0,False,0.8
ackley,logei,7,gaussian,0.25,0,rep10,50,25,0.01,14.0,False,1.56
ackley,logei,7,gaussian,1.0,0,rep10,50,10,0.01,2.0,False,1.2
ackley,logei,7,gaussian,1.0,0,rep10,50,25,0.01,3.0,False,1.12
ackley,logei,7,gaussian,5.0,0,rep10,50,10,0.01,10.0,False,2.0
ackley,logei,7,gaussian,5.0,0,rep10,50,25,0.01,29.0,True,2.16
ackley,logei,7,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
ackley,logei,7,gaussian,0.05,20,rep10,50,25,0.01,25.0,False,2.0
ackley,logei,7,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
ackley,logei,7,gaussian,0.25,20,rep10,50,25,0.01,18.0,False,1.72
ackley,logei,7,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
ackley,logei,7,gaussian,1.0,20,rep10,50,25,0.01,29.0,True,2.16
ackley,logei,7,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
ackley,logei,7,gaussian,5.0,20,rep10,50,25,0.01,29.0,True,2.16
ackley,logei,8,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.05,0,rep10,50,25,0.01,6.0,False,1.24
ackley,logei,8,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.25,0,rep10,50,25,0.01,10.0,False,1.4
ackley,logei,8,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,1.0,0,rep10,50,25,0.01,26.0,True,2.04
ackley,logei,8,gaussian,5.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,5.0,0,rep10,50,25,0.01,26.0,True,2.04
ackley,logei,8,gaussian,0.05,20,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.05,20,rep10,50,25,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.25,20,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.25,20,rep10,50,25,0.01,0.0,False,1.0
ackley,logei,8,gaussian,1.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,1.0,20,rep10,50,25,0.01,8.0,False,1.32
ackley,logei,8,gaussian,5.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,5.0,20,rep10,50,25,0.01,4.0,False,1.16
ackley,logei,9,gaussian,0.05,0,rep10,50,10,0.01,21.0,False,3.1
ackley,logei,9,gaussian,0.05,0,rep10,50,25,0.01,20.0,False,1.8
ackley,logei,9,gaussian,0.25,0,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,9,gaussian,0.25,0,rep10,50,25,0.01,15.0,False,1.6
ackley,logei,9,gaussian,1.0,0,rep10,50,10,0.01,9.0,False,1.9
ackley,logei,9,gaussian,1.0,0,rep10,50,25,0.01,26.0,True,2.04
ackley,logei,9,gaussian,5.0,0,rep10,50,10,0.01,43.0,True,5.3
ackley,logei,9,gaussian,5.0,0,rep10,50,25,0.01,26.0,True,2.04
ackley,logei,9,gaussian,0.05,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,9,gaussian,0.05,20,rep10,50,25,0.01,18.0,False,1.72
ackley,logei,9,gaussian,0.25,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,9,gaussian,0.25,20,rep10,50,25,0.01,20.0,False,1.8
ackley,logei,9,gaussian,1.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,9,gaussian,1.0,20,rep10,50,25,0.01,12.0,False,1.48
ackley,logei,9,gaussian,5.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,logei,9,gaussian,5.0,20,rep10,50,25,0.01,26.0,True,2.04
ackley,qnei,10,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.05,0,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.25,0,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,0,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,5.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,5.0,0,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.05,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.05,20,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.25,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.25,20,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,20,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,5.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,5.0,20,rep10,50,25,0.01,0.0,False,1.0
ackley,qnei,11,gaussian,0.05,0,rep10,50,10,0.01,3.0,False,1.3
ackley,qnei,11,gaussian,0.05,0,rep10,50,25,0.01,4.0,False,1.16
ackley,qnei,11,gaussian,0.25,0,rep10,50,10,0.01,11.0,False,2.1
ackley,qnei,11,gaussian,0.25,0,rep10,50,25,0.01,12.0,False,1.48
ackley,qnei,11,gaussian,1.0,0,rep10,50,10,0.01,5.0,False,1.5
ackley,qnei,11,gaussian,1.0,0,rep10,50,25,0.01,17.0,False,1.68
ackley,qnei,11,gaussian,5.0,0,rep10,50,10,0.01,43.0,True,5.3
ackley,qnei,11,gaussian,5.0,0,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,11,gaussian,0.05,20,rep10,50,10,0.01,1.0,False,1.1
ackley,qnei,11,gaussian,0.05,20,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,11,gaussian,0.25,20,rep10,50,10,0.01,1.0,False,1.1
ackley,qnei,11,gaussian,0.25,20,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,11,gaussian,1.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,qnei,11,gaussian,1.0,20,rep10,50,25,0.01,25.0,False,2.0
ackley,qnei,11,gaussian,5.0,20,rep10,50,10,0.01,1.0,False,1.1
ackley,qnei,11,gaussian,5.0,20,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,7,gaussian,0.05,0,rep10,50,10,0.01,10.0,False,2.0
ackley,qnei,7,gaussian,0.05,0,rep10,50,25,0.01,25.0,True,2.0
ackley,qnei,7,gaussian,0.25,0,rep10,50,10,0.01,8.0,False,1.8
ackley,qnei,7,gaussian,0.25,0,rep10,50,25,0.01,16.0,False,1.64
ackley,qnei,7,gaussian,1.0,0,rep10,50,10,0.01,27.0,False,3.7
ackley,qnei,7,gaussian,1.0,0,rep10,50,25,0.01,25.0,True,2.0
ackley,qnei,7,gaussian,5.0,0,rep10,50,10,0.01,42.0,True,5.2
ackley,qnei,7,gaussian,5.0,0,rep10,50,25,0.01,25.0,True,2.0
ackley,qnei,7,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
ackley,qnei,7,gaussian,0.05,20,rep10,50,25,0.01,12.0,False,1.48
ackley,qnei,7,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
ackley,qnei,7,gaussian,0.25,20,rep10,50,25,0.01,11.0,False,1.44
ackley,qnei,7,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
ackley,qnei,7,gaussian,1.0,20,rep10,50,25,0.01,22.0,False,1.88
ackley,qnei,7,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
ackley,qnei,7,gaussian,5.0,20,rep10,50,25,0.01,25.0,True,2.0
ackley,qnei,8,gaussian,0.05,0,rep10,50,10,0.01,6.0,False,1.6
ackley,qnei,8,gaussian,0.05,0,rep10,50,25,0.01,9.0,False,1.36
ackley,qnei,8,gaussian,0.25,0,rep10,50,10,0.01,4.0,False,1.4
ackley,qnei,8,gaussian,0.25,0,rep10,50,25,0.01,9.0,False,1.36
ackley,qnei,8,gaussian,1.0,0,rep10,50,10,0.01,18.0,False,2.8
ackley,qnei,8,gaussian,1.0,0,rep10,50,25,0.01,24.0,False,1.96
ackley,qnei,8,gaussian,5.0,0,rep10,50,10,0.01,42.0,True,5.2
ackley,qnei,8,gaussian,5.0,0,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,8,gaussian,0.05,20,rep10,50,10,0.01,14.0,False,2.4
ackley,qnei,8,gaussian,0.05,20,rep10,50,25,0.01,15.0,False,1.6
ackley,qnei,8,gaussian,0.25,20,rep10,50,10,0.01,14.0,False,2.4
ackley,qnei,8,gaussian,0.25,20,rep10,50,25,0.01,11.0,False,1.44
ackley,qnei,8,gaussian,1.0,20,rep10,50,10,0.01,19.0,False,2.9
ackley,qnei,8,gaussian,1.0,20,rep10,50,25,0.01,25.0,False,2.0
ackley,qnei,8,gaussian,5.0,20,rep10,50,10,0.01,14.0,False,2.4
ackley,qnei,8,gaussian,5.0,20,rep10,50,25,0.01,27.0,True,2.08
ackley,qnei,9,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,0.05,0,rep10,50,25,0.01,15.0,False,1.6
ackley,qnei,9,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,0.25,0,rep10,50,25,0.01,21.0,False,1.84
ackley,qnei,9,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,1.0,0,rep10,50,25,0.01,15.0,False,1.6
ackley,qnei,9,gaussian,5.0,0,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,5.0,0,rep10,50,25,0.01,29.0,True,2.16
ackley,qnei,9,gaussian,0.05,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,0.05,20,rep10,50,25,0.01,14.0,False,1.56
ackley,qnei,9,gaussian,0.25,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,0.25,20,rep10,50,25,0.01,13.0,False,1.52
ackley,qnei,9,gaussian,1.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,1.0,20,rep10,50,25,0.01,13.0,False,1.52
ackley,qnei,9,gaussian,5.0,20,rep10,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,5.0,20,rep10,50,25,0.01,29.0,True,2.16
