model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.37249780001024724,0.2627111660996265,0.4567982580052652,0.0005,2000,0.3519238544716027,160,20,
primary,log_noise,0.3666490314140382,0.14193276755964665,0.6565084591940572,0.0005,2000,0.3519238544716027,160,20,0.00125
primary,dim,0.0037670944921019116,-0.026994386053909195,0.14710176280602205,0.743,2000,0.3519238544716027,160,20,0.743
primary,log_opt_z,0.35763037498091754,0.1804060819474613,0.3891772696361321,0.0005,2000,0.3519238544716027,160,20,0.00125
primary,ruggedness,-0.030156702550025283,-0.14346412441213624,0.051130488825130035,0.445,2000,0.3519238544716027,160,20,0.55625
primary,log_tail_ratio,0.1316353322975991,0.03052954270204551,0.17658493861208516,0.007,2000,0.3519238544716027,160,20,0.011666666666666667
primary,onset_20,-0.14228803249702474,-0.29620702527576204,-0.010003054722674803,0.033,2000,0.3519238544716027,160,20,
sensitivity,const,0.3724978000102478,0.26287176803648055,0.4686761160398814,0.0005,2000,0.35429994148363986,160,20,
sensitivity,log_noise,0.3666490314140382,0.14193276755964668,0.6565084591940565,0.0005,2000,0.35429994148363986,160,20,0.0035
sensitivity,dim,0.0070439953398546105,-0.028666926047888206,0.1807060649240894,0.728,2000,0.35429994148363986,160,20,0.728
sensitivity,log_opt_z,0.3909276656628717,0.029905267577221492,0.5709043143296367,0.041,2000,0.35429994148363986,160,20,0.09566666666666668
sensitivity,ruggedness,-0.023702431565514787,-0.13095554673419707,0.048606366823135516,0.676,2000,0.35429994148363986,160,20,0.728
sensitivity,log_tail_ratio,0.11122149041058994,0.012554865511653909,0.17618181382669248,0.03,2000,0.35429994148363986,160,20,0.09566666666666668
sensitivity,log_sparsity,0.09769884197242346,-0.08198209167229072,0.22945491887945454,0.203,2000,0.35429994148363986,160,20,0.35525000000000007
sensitivity,skew,0.05753903749268985,-0.10498114437717691,0.2531831111355861,0.303,2000,0.35429994148363986,160,20,0.42419999999999997
sensitivity,onset_20,-0.1422880324970255,-0.29620702527576226,-0.010003054722674704,0.033,2000,0.35429994148363986,160,20,
