error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
gaussian,rep10,0.05,0,10,0.01,50,200,20,5.14,3.9548750000000004,6.3801250000000005,2.0,4.782828282828283,1.514,0.01
gaussian,rep10,0.05,0,25,0.01,50,200,20,10.925,8.599874999999997,13.190000000000001,9.0,8.423728813559322,1.4369999999999998,0.115
gaussian,rep10,0.05,20,10,0.01,50,200,20,4.805,3.469875,6.255000000000001,3.0,4.4393939393939394,1.4805000000000001,0.01
gaussian,rep10,0.05,20,25,0.01,50,200,20,10.819999999999999,8.554874999999997,13.020125,8.0,7.919540229885057,1.4328,0.13
gaussian,rep10,0.25,0,10,0.01,50,200,20,9.04,7.155000000000001,11.180124999999999,4.0,7.347368421052631,1.9040000000000001,0.05
gaussian,rep10,0.25,0,25,0.01,50,200,20,16.305,13.663749999999997,19.010125,14.0,11.387096774193548,1.6522,0.225
gaussian,rep10,0.25,20,10,0.01,50,200,20,4.9350000000000005,3.6248750000000007,6.420125,3.0,4.3908629441624365,1.4935,0.015
gaussian,rep10,0.25,20,25,0.01,50,200,20,12.72,10.044750000000002,15.495124999999998,9.0,8.660493827160494,1.5088,0.19
gaussian,rep10,1.0,0,10,0.01,50,200,20,14.114999999999998,11.499750000000002,16.985249999999997,8.0,8.53012048192771,2.4115,0.17
gaussian,rep10,1.0,0,25,0.01,50,200,20,21.915,18.804,24.840374999999995,27.0,10.042553191489361,1.8766000000000003,0.53
gaussian,rep10,1.0,20,10,0.01,50,200,20,4.83,3.6046249999999995,6.180125,3.0,4.284263959390863,1.4829999999999999,0.015
gaussian,rep10,1.0,20,25,0.01,50,200,20,15.070000000000002,11.9395,18.105249999999998,11.0,7.850746268656716,1.6028,0.33
gaussian,rep10,5.0,0,10,0.01,50,200,20,24.485,20.214250000000003,28.585624999999997,31.0,9.682242990654206,3.4485,0.465
gaussian,rep10,5.0,0,25,0.01,50,200,20,28.939999999999998,26.614874999999998,31.390374999999995,30.0,12.575,2.1576,0.8
gaussian,rep10,5.0,20,10,0.01,50,200,20,6.245,4.3500000000000005,8.305,3.0,4.01595744680851,1.6244999999999998,0.06
gaussian,rep10,5.0,20,25,0.01,50,200,20,18.229999999999997,14.564874999999997,21.715125,25.0,4.904255319148936,1.7291999999999998,0.53
