dataset,error_model,jitter_std,jitter_iteration,mean,std,count,dz
power_law_practice,gaussian,0.05,0,-0.024566965448781113,0.04093467234200605,10,-0.6001505335996341
moving_peaks,gaussian,0.05,20,-0.04030549488923015,0.0808085235301761,10,-0.4987777666074914
branin,gaussian,0.05,0,-0.0058353875168756005,0.012195284061986496,10,-0.4784954157045745
rosenbrock,gaussian,0.05,20,-0.0022459440818034795,0.004694404634858064,10,-0.47843001541161057
rosenbrock,gaussian,0.25,20,-0.0019309656793052299,0.0046560574218046675,10,-0.4147211909935587
steering_law,gaussian,0.05,20,-0.0006308813313016907,0.0016012546588318397,10,-0.39399187869463337
yerkes_dodson,gaussian,0.25,20,-0.11656945765295021,0.29650578415004875,10,-0.39314395834504007
weber_fechner,gaussian,0.05,20,-0.0067065658678910805,0.01794192033180115,10,-0.37379309147884415
yerkes_dodson,gaussian,0.25,0,-0.10918059474688598,0.2935737144872616,10,-0.37190180645966314
hicks_law,gaussian,0.05,0,-0.02082771220153751,0.056746362432407424,10,-0.3670316705559079
hartmann_6,gaussian,0.05,20,-0.08758113585723677,0.23867962913077975,10,-0.36694013718803137
ackley,gaussian,0.25,20,-0.29956832965661134,0.9059441835191914,10,-0.33066974224937484
powell,gaussian,0.25,20,-0.0033898327298895825,0.010409760408354675,10,-0.3256398415441884
shekel,gaussian,0.05,0,-1.289004685132415,4.027426582458951,10,-0.32005665621480095
hicks_law,gaussian,1.0,20,-0.0034177180716669004,0.010807773506785991,10,-0.31622776601683794
ackley,gaussian,0.05,20,-0.316190615763646,1.4197025268148957,10,-0.2227161041074006
shekel,gaussian,0.25,0,-0.9609091325275443,4.3393981821315695,10,-0.22143834057088835
ackley,gaussian,0.25,0,-0.6046716360890433,2.981327162875605,10,-0.20281961792674044
