error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
gaussian,rep10,0.05,0,10,0.0,50,200,20,3.1200000000000006,2.099875,4.190125,0.0,3.12,1.3119999999999998,0.0
gaussian,rep10,0.05,0,10,0.01,50,200,20,2.475,1.5948750000000003,3.4003749999999977,0.0,2.475,1.2475,0.0
gaussian,rep10,0.05,0,25,0.0,50,200,20,5.69,3.3893750000000007,8.135250000000001,2.0,4.296296296296297,1.2275999999999998,0.055
gaussian,rep10,0.05,0,25,0.01,50,200,20,4.25,2.47,6.040125,0.0,3.5384615384615383,1.17,0.025
gaussian,rep10,0.05,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,0.05,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,0.05,20,25,0.0,50,200,20,1.215,0.7100000000000001,1.7600000000000002,0.0,0.8274111675126904,1.0486,0.015
gaussian,rep10,0.05,20,25,0.01,50,200,20,0.31500000000000006,0.12,0.5700000000000001,0.0,0.315,1.0126,0.0
gaussian,rep10,0.25,0,10,0.0,50,200,20,5.41,4.16475,6.709999999999999,0.0,5.040404040404041,1.541,0.01
gaussian,rep10,0.25,0,10,0.01,50,200,20,4.69,3.5750000000000006,5.880374999999999,0.0,4.313131313131313,1.469,0.01
gaussian,rep10,0.25,0,25,0.0,50,200,20,10.280000000000001,7.104875,13.810124999999998,8.0,6.0359281437125745,1.4112,0.165
gaussian,rep10,0.25,0,25,0.01,50,200,20,8.260000000000002,5.629624999999999,11.020124999999998,6.0,5.488888888888889,1.3304,0.1
gaussian,rep10,0.25,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,0.25,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,0.25,20,25,0.0,50,200,20,2.1550000000000002,1.1,3.44,0.0,1.1197916666666667,1.0862,0.04
gaussian,rep10,0.25,20,25,0.01,50,200,20,1.0550000000000002,0.5548749999999999,1.6051249999999992,0.0,0.803030303030303,1.0422,0.01
gaussian,rep10,1.0,0,10,0.0,50,200,20,10.27,7.6397499999999985,13.075499999999996,4.0,6.625698324022347,2.0269999999999997,0.105
gaussian,rep10,1.0,0,10,0.01,50,200,20,9.35,6.724749999999999,12.080375,2.0,6.175824175824176,1.935,0.09
gaussian,rep10,1.0,0,25,0.0,50,200,20,16.865000000000002,14.229875,19.585375,18.0,7.0,1.6745999999999999,0.395
gaussian,rep10,1.0,0,25,0.01,50,200,20,15.220000000000002,12.235000000000003,18.29525,15.0,7.117647058823529,1.6088,0.32
gaussian,rep10,1.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,1.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,1.0,20,25,0.0,50,200,20,3.3850000000000002,1.9096249999999997,5.070125,0.0,1.3532608695652173,1.1354,0.08
gaussian,rep10,1.0,20,25,0.01,50,200,20,2.3,1.3550000000000002,3.2901249999999993,0.0,1.162303664921466,1.0919999999999999,0.045
gaussian,rep10,5.0,0,10,0.0,50,200,20,19.415,14.755,23.605375,16.0,8.5,2.9414999999999996,0.33
gaussian,rep10,5.0,0,10,0.01,50,200,20,18.04,13.959749999999998,22.095125,12.0,7.942857142857143,2.804,0.3
gaussian,rep10,5.0,0,25,0.0,50,200,20,25.625,22.289749999999998,28.545249999999996,28.0,10.216666666666667,2.025,0.7
gaussian,rep10,5.0,0,25,0.01,50,200,20,24.96,21.504375,28.21525,28.0,8.757575757575758,1.9984000000000004,0.67
gaussian,rep10,5.0,20,10,0.0,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,5.0,20,10,0.01,50,200,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaussian,rep10,5.0,20,25,0.0,50,200,20,6.185,3.9097500000000003,8.750624999999998,0.0,0.98125,1.2474,0.2
gaussian,rep10,5.0,20,25,0.01,50,200,20,4.99,2.929375,7.270749999999996,0.0,0.9704142011834319,1.1996,0.155
