run_id,dataset,objective,acquisition,seed,oracle_model,baseline,variant,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1
2faf6cb7-82bd-45e3-a9ff-3579c6bc7745,branin,value,logei,10,exact,True,,none,0.0,0,50,0,1,2,1.4028993862979968,1.250025479155015,2.9986745053722785e-05,15.197773127071146,0.3039554625414229,0.4105994944772775,0.008379581519944439,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-1.2755682435444449,-0.5839968699712659
2faf6cb7-82bd-45e3-a9ff-3579c6bc7745,branin,value,logei,10,exact,True,,none,0.0,20,50,0,21,22,0.3416716578466598,1.250025479155015,2.9986745053722785e-05,15.197773127071146,0.3039554625414229,0.4105994944772775,0.002698916000302368,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-0.34101554811995527,0.021164066625567024
7bf59603-8385-488b-b390-fbd936db993d,branin,value,logei,10,exact,False,studenttrbf,misclick,0.01,0,50,0,1,2,1.4028993862979968,1.250025479155015,2.9986745053722785e-05,15.197773127071146,0.3039554625414229,0.4105994944772775,0.008379581519944439,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-1.2755682435444449,-0.5839968699712659
7afd4875-887e-4bfb-9df5-14fbe1f9dac1,branin,value,logei,10,exact,False,studenttrbf,misclick,0.05,0,50,0,1,2,1.4028993862979968,1.250025479155015,2.9986745053722785e-05,15.197773127071146,0.3039554625414229,0.4105994944772775,0.008379581519944439,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-1.2755682435444449,-0.5839968699712659
72d5c49d-f61d-4010-86bd-055120d6fb1c,branin,value,logei,10,exact,False,studenttrbf,misclick,0.15,0,50,0,1,2,1.4028993862979968,1.1537904744342722,0.0962649914657964,52.64921559630285,1.0529843119260571,7.132226756118522,0.14555564808405147,0.0962649914657964,6.643724290628878,"x0,x1",-1.2755682435444449,-0.5839968699712659
9643808d-4a8b-4b27-9e8b-56400e91385d,branin,value,logei,10,exact,False,studenttrbf,misclick,0.4,0,50,0,1,2,1.4028993862979968,1.2331847136995135,0.0168707522005551,33.8414988293497,0.6768299765869941,0.8266668578272,0.0168707522005551,0.0168707522005551,0.8266668578272,"x0,x1",-1.2755682435444449,-0.5839968699712659
2347b45f-04d1-4366-9272-5aefd1f14d68,branin,value,logei,10,exact,False,studenttrbf,misclick,0.01,20,50,0,21,22,0.3416716578466598,1.250025479155015,2.9986745053722785e-05,17.02024556281256,0.3404049112562511,0.4105994944772775,0.002698916000302368,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-0.34101554811995527,0.021164066625567024
23a1dacc-26c9-4142-bb5b-c24af018dabb,branin,value,logei,10,exact,False,studenttrbf,misclick,0.05,20,50,0,21,22,0.3416716578466598,1.250025479155015,2.9986745053722785e-05,22.84702708140124,0.4569405416280248,0.4105994944772775,0.002698916000302368,2.9986745053722785e-05,0.4105994944772775,"x0,x1",-0.34101554811995527,0.021164066625567024
7848f56b-7850-42d5-bc95-02550df17c36,branin,value,logei,10,exact,False,studenttrbf,misclick,0.15,20,50,0,21,22,0.3416716578466598,1.2433529407847,0.0067025251153687,33.171660016981264,0.6634332003396253,0.5267041588142012,0.0067025251153687,0.0067025251153687,0.5267041588142012,"x0,x1",-0.34101554811995527,0.021164066625567024
8d6781d0-c9c0-41c2-ac17-cf7208b519e1,branin,value,logei,10,exact,False,studenttrbf,misclick,0.4,20,50,0,21,22,0.3416716578466598,1.2433529407847,0.0067025251153687,37.711342154367536,0.7542268430873507,0.5267041588142012,0.0067025251153687,0.0067025251153687,0.5267041588142012,"x0,x1",-0.34101554811995527,0.021164066625567024
