iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,0.14792608457745593,0.9282110229603695,1.571302229950474,1.571302229950474,1.571302229950474,0.0,False,True,0.0,ucb,0.0,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.395861733341463,6.395861733341463,6.395861733341463,6.395861733341463,1.571302229950474,6.395861733341463,hartmann_6
2,0.07042057615419683,0.12977394939929798,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.37926057518372475,,0.37926057518372475,0.0,False,True,,ucb,0.0,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.587903388108212,13.983765121449675,6.395861733341463,6.991882560724838,1.571302229950474,6.395861733341463,hartmann_6
3,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.6703605841024838,0.5123823134831604,-0.6412990271898988,,-0.6412990271898988,0.0,False,True,,ucb,0.0,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.608462990481836,22.59222811193151,6.395861733341463,7.530742703977171,1.571302229950474,6.395861733341463,hartmann_6
4,0.8167364359696581,0.5490752688700263,0.9809136392973055,0.20450946133004488,0.5537303628652278,0.4836246969233877,-0.45831383618453114,-0.45831383618453114,-0.45831383618453114,0.0,False,True,0.0,ucb,0.0,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.425477799476468,31.01770591140798,6.395861733341463,7.754426477851995,1.571302229950474,6.395861733341463,hartmann_6
5,0.3532748550604481,0.5915953039490435,0.23530123166758055,0.8022026837784835,0.8673335518424147,0.12875967122785104,1.3104474652198819,1.3104474652198819,1.3104474652198819,0.0,False,True,0.0,ucb,0.0,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.656716498072055,37.67442240948004,6.395861733341463,7.5348844818960075,1.571302229950474,6.395861733341463,hartmann_6
6,0.008634668178763735,0.5368926764061072,0.23707391846514045,0.43391939733524487,0.4344391770452416,0.607452100994809,1.6992581757300167,1.6992581757300167,1.6992581757300167,0.0,False,True,0.0,ucb,0.22096120001515374,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,6.26790578756192,43.94232819704196,6.26790578756192,7.32372136617366,1.6992581757300167,6.26790578756192,hartmann_6
7,0.11562788184861442,0.0,0.10819232318366725,0.13861142568912851,7.942914702775549e-05,0.11327196356247134,-0.5783322745157649,,-0.5783322745157649,0.0,False,True,,ucb,0.2826198000111617,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.545496237807702,52.487824434849664,6.26790578756192,7.498260633549952,1.6992581757300167,6.26790578756192,hartmann_6
8,0.18071098251242348,0.0,0.0004772133671229388,0.7157920160308108,0.0,0.8528944282825442,-0.5273181114454982,,-0.5273181114454982,0.0,False,True,,ucb,0.2669095000019297,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.494482074737435,60.9823065095871,6.26790578756192,7.622788313698387,1.6992581757300167,6.26790578756192,hartmann_6
9,0.14046398072744318,0.0007616060762932426,0.012384946952561541,0.12997263002989218,0.0,0.2289318357112904,-0.46774309055382585,,-0.46774309055382585,0.0,False,True,,ucb,0.27291460003471,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.434907053845762,69.41721356343285,6.26790578756192,7.713023729270317,1.6992581757300167,6.26790578756192,hartmann_6
10,0.18072166633992373,6.799785945392384e-07,0.0004079769055234949,0.7156704266478119,0.0,0.8528718435642151,-0.5271684633064438,-0.5271684633064438,-0.5271684633064438,0.0,False,True,0.0,ucb,0.3192241999786347,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.494332426598382,77.91154599003123,6.26790578756192,7.791154599003123,1.6992581757300167,6.26790578756192,hartmann_6
11,0.02192279989837243,0.7687778499118301,0.5767662238455289,0.06731724582783315,0.48231205135765914,0.6669911692928691,0.5213907155743369,0.5213907155743369,0.5213907155743369,0.0,False,True,0.0,ucb,0.520932300016284,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,7.4457732477176,85.35731923774883,6.26790578756192,7.759756294340803,1.6992581757300167,6.26790578756192,hartmann_6
12,0.04877102773125186,0.46061916688307314,0.7315416600235252,1.0,1.0,0.8426704179362606,-0.6496544575817408,-0.6496544575817408,-0.6496544575817408,0.0,False,True,0.0,ucb,0.44296730001224205,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.616818420873678,93.97413765862251,6.26790578756192,7.831178138218543,1.6992581757300167,6.26790578756192,hartmann_6
13,0.6219681661409021,0.5035372531150215,0.33294904916851253,0.0,0.07388028598510897,0.32269842910282515,-0.4253065266107868,-0.4253065266107868,-0.4253065266107868,0.0,False,True,0.0,ucb,0.5125860000262037,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.392470489902724,102.36660814852523,6.26790578756192,7.874354472963479,1.6992581757300167,6.26790578756192,hartmann_6
14,0.0,0.5177494517202482,0.0,0.21869526533932884,0.0,0.8982549314685822,-0.25337083715476877,,-0.25337083715476877,0.0,False,True,,ucb,0.4727285000262782,False,True,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.220534800446705,110.58714294897193,6.26790578756192,7.899081639212281,1.6992581757300167,6.26790578756192,hartmann_6
15,0.0,0.5177500016692412,0.0,0.21869337756511853,0.0,0.8982531883390003,-0.25336980374866874,-0.25336980374866874,-0.25336980374866874,0.0,False,True,0.0,ucb,0.3834356000297703,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.220533767040607,118.80767671601254,6.26790578756192,7.9205117810675025,1.6992581757300167,6.26790578756192,hartmann_6
16,0.0,0.6976755659583068,0.12913256837494322,0.5780506509596977,0.7089456979367734,0.48083985644423705,-0.5947821964160561,-0.5947821964160561,-0.5947821964160561,0.0,False,True,0.0,ucb,0.3112936000106856,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6992581757300167,8.561946159707993,127.36962287572052,6.26790578756192,7.960601429732533,1.6992581757300167,6.26790578756192,hartmann_6
17,0.03293063080399144,0.4860827882163448,0.314077413980845,0.3484028485969522,0.323534401231615,0.7279652149683856,3.8326151112898303,3.8326151112898303,3.8326151112898303,0.0,False,True,0.0,ucb,0.4084508999949321,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8326151112898303,4.134548852002107,131.50417172772262,4.134548852002107,7.735539513395448,3.8326151112898303,4.134548852002107,hartmann_6
18,0.5499684802713445,0.0,0.0,1.0,0.3037895174336902,1.0,-0.6621191797776741,-0.6621191797776741,-0.6621191797776741,0.0,False,True,0.0,ucb,0.5580288000055589,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8326151112898303,8.62928314306961,140.13345487079224,4.134548852002107,7.7851919372662355,3.8326151112898303,4.134548852002107,hartmann_6
19,0.0,0.17827068503503132,0.5555351031407965,0.4249341730394798,0.2722851661601835,0.5034266632619884,4.073791736537315,4.073791736537315,4.073791736537315,0.0,False,True,0.0,ucb,0.8159921000478789,False,False,11,4b9d249a-44fd-45eb-bea3-a3ac311fb9b1,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.073791736537315,3.8933722267546225,144.02682709754686,3.8933722267546225,7.5803593209235185,4.073791736537315,3.8933722267546225,hartmann_6
