,,,,true_diff,true_diff,true_diff,true_diff,obs_diff,obs_diff,obs_diff,obs_diff
,,,,mean,std,sem,count,mean,std,sem,count
objective,acquisition,error_model,jitter_std,,,,,,,,
composite,ei,bias,0.05,-0.1992,0.5162,0.0942,30,0.0043,0.5184,0.0946,30
composite,ei,bias,0.5,-0.2403,0.5004,0.0914,30,-0.0552,0.5586,0.102,30
composite,ei,bias,1.0,-0.4734,0.5596,0.1022,30,-0.3859,1.2284,0.2243,30
composite,ei,bias,5.0,-0.4772,0.462,0.0843,30,0.3276,4.3105,0.787,30
composite,ei,gaussian,0.05,-0.0914,0.471,0.086,30,-0.0835,0.4786,0.0874,30
composite,ei,gaussian,0.5,-0.1173,0.4408,0.0805,30,0.0644,0.6209,0.1134,30
composite,ei,gaussian,1.0,-0.2323,0.3993,0.0729,30,0.0734,0.9505,0.1735,30
composite,ei,gaussian,5.0,-0.4345,0.4855,0.0886,30,-1.5849,5.1245,0.9356,30
composite,greedy,bias,0.05,-0.0394,0.383,0.0699,30,0.1558,0.3843,0.0702,30
composite,greedy,bias,0.5,-0.1286,0.391,0.0714,30,0.0266,0.8014,0.1463,30
composite,greedy,bias,1.0,-0.1491,0.4489,0.082,30,-0.3112,0.7333,0.1339,30
composite,greedy,bias,5.0,-0.3566,0.4733,0.0864,30,-0.4468,6.0693,1.1081,30
composite,greedy,gaussian,0.05,-0.0346,0.3889,0.071,30,-0.0326,0.392,0.0716,30
composite,greedy,gaussian,0.5,-0.1394,0.45,0.0822,30,-0.1792,0.5322,0.0972,30
composite,greedy,gaussian,1.0,-0.133,0.3941,0.0719,30,-0.2993,1.1759,0.2147,30
composite,greedy,gaussian,5.0,-0.3367,0.4593,0.0839,30,-0.3566,4.453,0.813,30
composite,logei,bias,0.05,0.0282,0.5976,0.1091,30,0.2435,0.606,0.1106,30
composite,logei,bias,0.5,-0.0482,0.4957,0.0905,30,0.1148,0.6588,0.1203,30
composite,logei,bias,1.0,-0.3106,0.5532,0.101,30,-0.3658,1.4438,0.2636,30
composite,logei,bias,5.0,-0.387,0.6047,0.1104,30,0.7597,5.2258,0.9541,30
composite,logei,gaussian,0.05,0.0512,0.375,0.0685,30,0.0315,0.3636,0.0664,30
composite,logei,gaussian,0.5,-0.0245,0.576,0.1052,30,-0.0006,0.7848,0.1433,30
composite,logei,gaussian,1.0,-0.3202,0.5308,0.0969,30,0.1177,1.0599,0.1935,30
composite,logei,gaussian,5.0,-0.3925,0.6134,0.112,30,-0.9145,4.2726,0.7801,30
composite,logpi,bias,0.05,0.0771,0.4612,0.0842,30,0.2796,0.4667,0.0852,30
composite,logpi,bias,0.5,-0.036,0.5376,0.0982,30,0.2291,0.6503,0.1187,30
composite,logpi,bias,1.0,-0.1635,0.5382,0.0983,30,-0.4177,1.1354,0.2073,30
composite,logpi,bias,5.0,-0.4241,0.4926,0.0899,30,-0.6566,4.4937,0.8204,30
composite,logpi,gaussian,0.05,0.0387,0.4969,0.0907,30,0.0627,0.5008,0.0914,30
composite,logpi,gaussian,0.5,-0.1395,0.4689,0.0856,30,-0.2627,0.5857,0.1069,30
composite,logpi,gaussian,1.0,-0.225,0.5572,0.1017,30,-0.2369,0.8717,0.1591,30
composite,logpi,gaussian,5.0,-0.3735,0.5093,0.093,30,-0.6494,5.7627,1.0521,30
composite,pi,bias,0.05,-0.0729,0.4142,0.0756,30,0.1258,0.4246,0.0775,30
composite,pi,bias,0.5,-0.3834,0.5069,0.0925,30,-0.1713,0.6612,0.1207,30
composite,pi,bias,1.0,-0.3961,0.5459,0.0997,30,-0.0425,1.1831,0.216,30
composite,pi,bias,5.0,-0.6792,0.6121,0.1118,30,-1.8945,4.1507,0.7578,30
composite,pi,gaussian,0.05,-0.0514,0.4215,0.0769,30,-0.078,0.4149,0.0758,30
composite,pi,gaussian,0.5,-0.3056,0.4991,0.0911,30,-0.1895,0.5627,0.1027,30
composite,pi,gaussian,1.0,-0.4428,0.5675,0.1036,30,0.2677,1.4291,0.2609,30
composite,pi,gaussian,5.0,-0.6608,0.5882,0.1074,30,-0.773,3.8713,0.7068,30
composite,qei,bias,0.05,0.0912,0.6072,0.1109,30,0.2845,0.6052,0.1105,30
composite,qei,bias,0.5,0.168,0.7618,0.1391,30,0.4457,0.7477,0.1365,30
composite,qei,bias,1.0,-0.1435,0.6221,0.1136,30,-0.3447,0.923,0.1685,30
composite,qei,bias,5.0,-0.0943,0.7444,0.1359,30,2.1257,6.1288,1.119,30
composite,qei,gaussian,0.05,0.0395,0.6854,0.1251,30,0.0488,0.684,0.1249,30
