objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
composite,logpi,bias,0.05,20,extra_trees,0.05493998448349036,0.1783572676984465,10,negligible,negligible
composite,logpi,bias,0.05,40,extra_trees,0.06413507553353757,0.21731432218066393,10,negligible,SMALL
composite,logpi,bias,0.5,10,extra_trees,-0.024994146840821633,-0.0020002927201935266,10,negligible,negligible
composite,logpi,bias,0.5,20,extra_trees,-0.0013728385655239436,0.20716231982830688,10,negligible,SMALL
composite,logpi,bias,0.5,40,extra_trees,-0.0379681903128852,0.20580090786274383,10,negligible,SMALL
composite,logpi,bias,1.0,10,extra_trees,-0.13878313435421985,-0.25690454679195107,10,negligible,SMALL
composite,logpi,bias,1.0,20,extra_trees,-0.12265036325649994,-0.44161529321742643,10,negligible,SMALL
composite,logpi,bias,1.0,40,extra_trees,-0.03234263346368392,0.004516169530371386,10,negligible,negligible
composite,logpi,bias,5.0,10,extra_trees,-0.4090189942053554,-0.2885594735829542,10,SMALL,SMALL
composite,logpi,bias,5.0,20,extra_trees,-0.19942245866563396,0.16157471602962933,10,negligible,negligible
composite,logpi,bias,5.0,40,extra_trees,-0.15967290342506754,-0.8038357733680281,10,negligible,LARGE
composite,logpi,gaussian,0.05,10,extra_trees,-0.023722405598385732,-0.007952568974941761,10,negligible,negligible
composite,logpi,gaussian,0.05,20,extra_trees,0.116058880203191,0.12642052087158417,10,negligible,negligible
composite,logpi,gaussian,0.05,40,extra_trees,-0.020004039597632483,-0.0022282100932168878,10,negligible,negligible
composite,logpi,gaussian,0.5,10,extra_trees,-0.1348874202854233,-0.0022893027129855547,10,negligible,negligible
composite,logpi,gaussian,0.5,20,extra_trees,-0.04631972213113488,-0.09660157224637947,10,negligible,negligible
composite,logpi,gaussian,0.5,40,extra_trees,-0.07109836746096614,-0.357446210645147,10,negligible,SMALL
composite,logpi,gaussian,1.0,10,extra_trees,-0.2945820751223964,-0.3734536346986718,10,SMALL,SMALL
composite,logpi,gaussian,1.0,20,extra_trees,-0.1396439063666489,0.1302480902861226,10,negligible,negligible
