objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
multi_objective,qehvi,gaussian,0.5,10,extra_trees,-0.03140783544108677,0.5658618123098911,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,0.5,20,extra_trees,-0.01146724007900972,0.607068242368266,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,0.5,40,extra_trees,0.0004977086409310057,0.42572134209287205,10,negligible,SMALL
multi_objective,qehvi,gaussian,1.0,10,extra_trees,-0.019902074874212253,0.8805629140873138,10,negligible,LARGE
multi_objective,qehvi,gaussian,1.0,20,extra_trees,-0.009575701486016658,0.8840375149039634,10,negligible,LARGE
multi_objective,qehvi,gaussian,1.0,40,extra_trees,0.00034642582885448616,0.7372386412956949,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,5.0,10,extra_trees,-0.08031517588986607,1.3914857800973233,10,negligible,LARGE
multi_objective,qehvi,gaussian,5.0,20,extra_trees,-0.011431884692776449,1.0641929883545043,10,negligible,LARGE
multi_objective,qehvi,gaussian,5.0,40,extra_trees,0.00374292398290589,1.0596803513876492,10,negligible,LARGE
multi_objective,qnehvi,bias,0.05,10,extra_trees,0.0,0.17550208056802752,10,negligible,negligible
multi_objective,qnehvi,bias,0.05,20,extra_trees,0.0,0.16986538246995736,10,negligible,negligible
multi_objective,qnehvi,bias,0.05,40,extra_trees,0.0,0.03844732079795639,10,negligible,negligible
multi_objective,qnehvi,bias,0.5,10,extra_trees,0.0,0.5364520961199843,10,negligible,MEDIUM
multi_objective,qnehvi,bias,0.5,20,extra_trees,0.0,0.4703474744388975,10,negligible,SMALL
multi_objective,qnehvi,bias,0.5,40,extra_trees,0.0,0.29116441887487904,10,negligible,SMALL
multi_objective,qnehvi,bias,1.0,10,extra_trees,0.0,0.8449039178053867,10,negligible,LARGE
multi_objective,qnehvi,bias,1.0,20,extra_trees,0.0,0.7922119011158655,10,negligible,MEDIUM
multi_objective,qnehvi,bias,1.0,40,extra_trees,0.0,0.5776145188135056,10,negligible,MEDIUM
multi_objective,qnehvi,bias,5.0,10,extra_trees,0.0,1.0997038141428377,10,negligible,LARGE
multi_objective,qnehvi,bias,5.0,20,extra_trees,0.0,1.1364980177842474,10,negligible,LARGE
multi_objective,qnehvi,bias,5.0,40,extra_trees,0.0,0.6952734822790161,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,0.05,10,extra_trees,0.0,0.013245369316926785,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.05,20,extra_trees,0.0,-0.006607844494660039,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.05,40,extra_trees,0.0,0.003404002343582675,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.5,10,extra_trees,0.0,0.37992511357821723,10,negligible,SMALL
multi_objective,qnehvi,gaussian,0.5,20,extra_trees,0.0,0.38487889789083324,10,negligible,SMALL
multi_objective,qnehvi,gaussian,0.5,40,extra_trees,0.0,0.1888913956825171,10,negligible,negligible
multi_objective,qnehvi,gaussian,1.0,10,extra_trees,0.0,0.7574838495447412,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,1.0,20,extra_trees,0.0,0.7890178255693869,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,1.0,40,extra_trees,0.0,0.379466461323615,10,negligible,SMALL
multi_objective,qnehvi,gaussian,5.0,10,extra_trees,0.0,1.245874478516564,10,negligible,LARGE
multi_objective,qnehvi,gaussian,5.0,20,extra_trees,0.0,1.0742047863470559,10,negligible,LARGE
multi_objective,qnehvi,gaussian,5.0,40,extra_trees,0.0,0.9675410919428714,10,negligible,LARGE
