group1,group2,meandiff,p-adj,lower,upper,reject
ei,greedy,0.1185,1.0,-10.0439,10.281,False
ei,logei,0.1077,1.0,-10.0547,10.2702,False
ei,logpi,0.1275,1.0,-10.035,10.2899,False
ei,pi,-0.0908,1.0,-10.2533,10.0716,False
ei,qehvi,-36.034,0.0,-46.1965,-25.8715,True
ei,qei,0.3146,1.0,-9.8479,10.4771,False
ei,qnehvi,0.2832,1.0,-9.8793,10.4457,False
ei,qnei,0.1421,1.0,-10.0204,10.3046,False
ei,qpi,-0.0638,1.0,-10.2263,10.0986,False
ei,qucb,-0.16,1.0,-10.3225,10.0024,False
ei,ucb,-0.1818,1.0,-10.3443,9.9807,False
greedy,logei,-0.0108,1.0,-10.1733,10.1517,False
greedy,logpi,0.0089,1.0,-10.1535,10.1714,False
greedy,pi,-0.2094,1.0,-10.3718,9.9531,False
greedy,qehvi,-36.1525,0.0,-46.315,-25.9901,True
greedy,qei,0.1961,1.0,-9.9664,10.3585,False
greedy,qnehvi,0.1647,1.0,-9.9978,10.3271,False
greedy,qnei,0.0235,1.0,-10.1389,10.186,False
greedy,qpi,-0.1824,1.0,-10.3448,9.9801,False
greedy,qucb,-0.2786,1.0,-10.4411,9.8839,False
greedy,ucb,-0.3003,1.0,-10.4628,9.8621,False
logei,logpi,0.0197,1.0,-10.1427,10.1822,False
logei,pi,-0.1986,1.0,-10.361,9.9639,False
logei,qehvi,-36.1417,0.0,-46.3042,-25.9793,True
logei,qei,0.2068,1.0,-9.9556,10.3693,False
logei,qnehvi,0.1754,1.0,-9.987,10.3379,False
logei,qnei,0.0343,1.0,-10.1281,10.1968,False
logei,qpi,-0.1716,1.0,-10.334,9.9909,False
logei,qucb,-0.2678,1.0,-10.4303,9.8947,False
logei,ucb,-0.2895,1.0,-10.452,9.8729,False
logpi,pi,-0.2183,1.0,-10.3808,9.9442,False
logpi,qehvi,-36.1615,0.0,-46.3239,-25.999,True
logpi,qei,0.1871,1.0,-9.9754,10.3496,False
logpi,qnehvi,0.1557,1.0,-10.0068,10.3182,False
logpi,qnei,0.0146,1.0,-10.1479,10.1771,False
logpi,qpi,-0.1913,1.0,-10.3538,9.9712,False
logpi,qucb,-0.2875,1.0,-10.45,9.8749,False
logpi,ucb,-0.3093,1.0,-10.4717,9.8532,False
pi,qehvi,-35.9431,0.0,-46.1056,-25.7807,True
pi,qei,0.4054,1.0,-9.757,10.5679,False
pi,qnehvi,0.374,1.0,-9.7884,10.5365,False
pi,qnei,0.2329,1.0,-9.9295,10.3954,False
pi,qpi,0.027,1.0,-10.1355,10.1895,False
pi,qucb,-0.0692,1.0,-10.2317,10.0933,False
pi,ucb,-0.0909,1.0,-10.2534,10.0715,False
qehvi,qei,36.3486,0.0,26.1861,46.511,True
qehvi,qnehvi,36.3172,0.0,26.1547,46.4796,True
qehvi,qnei,36.1761,0.0,26.0136,46.3385,True
qehvi,qpi,35.9702,0.0,25.8077,46.1326,True
qehvi,qucb,35.8739,0.0,25.7115,46.0364,True
qehvi,ucb,35.8522,0.0,25.6897,46.0147,True
qei,qnehvi,-0.0314,1.0,-10.1939,10.1311,False
qei,qnei,-0.1725,1.0,-10.335,9.99,False
qei,qpi,-0.3784,1.0,-10.5409,9.7841,False
qei,qucb,-0.4746,1.0,-10.6371,9.6878,False
qei,ucb,-0.4964,1.0,-10.6588,9.6661,False
qnehvi,qnei,-0.1411,1.0,-10.3036,10.0214,False
qnehvi,qpi,-0.347,1.0,-10.5095,9.8155,False
qnehvi,qucb,-0.4432,1.0,-10.6057,9.7192,False
qnehvi,ucb,-0.465,1.0,-10.6274,9.6975,False
qnei,qpi,-0.2059,1.0,-10.3684,9.9566,False
qnei,qucb,-0.3021,1.0,-10.4646,9.8603,False
qnei,ucb,-0.3239,1.0,-10.4863,9.8386,False
qpi,qucb,-0.0962,1.0,-10.2587,10.0662,False
qpi,ucb,-0.118,1.0,-10.2804,10.0445,False
qucb,ucb,-0.0217,1.0,-10.1842,10.1407,False
