group1,group2,meandiff,p-adj,lower,upper,reject
ei,greedy,0.0246,1.0,-4511.9567,4512.0058,False
ei,logei,0.2033,1.0,-4511.778,4512.1845,False
ei,logpi,-0.0015,1.0,-4511.9828,4511.9797,False
ei,pi,-0.1394,1.0,-4512.1207,4511.8418,False
ei,qehvi,16752.8937,0.0,12240.9124,21264.8749,True
ei,qei,0.4102,1.0,-4511.5711,4512.3914,False
ei,qnehvi,9726.4728,0.0,5214.4916,14238.454,True
ei,qnei,0.3671,1.0,-4511.6142,4512.3483,False
ei,qpi,0.019,1.0,-4511.9622,4512.0002,False
ei,qucb,0.0597,1.0,-4511.9215,4512.041,False
ei,ucb,-0.2685,1.0,-4512.2497,4511.7127,False
greedy,logei,0.1787,1.0,-4511.8025,4512.1599,False
greedy,logpi,-0.0261,1.0,-4512.0073,4511.9551,False
greedy,pi,-0.164,1.0,-4512.1452,4511.8172,False
greedy,qehvi,16752.8691,0.0,12240.8879,21264.8504,True
greedy,qei,0.3856,1.0,-4511.5956,4512.3668,False
greedy,qnehvi,9726.4482,0.0,5214.467,14238.4295,True
greedy,qnei,0.3425,1.0,-4511.6387,4512.3237,False
greedy,qpi,-0.0056,1.0,-4511.9868,4511.9757,False
greedy,qucb,0.0352,1.0,-4511.9461,4512.0164,False
greedy,ucb,-0.2931,1.0,-4512.2743,4511.6882,False
logei,logpi,-0.2048,1.0,-4512.186,4511.7764,False
logei,pi,-0.3427,1.0,-4512.3239,4511.6385,False
logei,qehvi,16752.6904,0.0,12240.7092,21264.6716,True
logei,qei,0.2069,1.0,-4511.7744,4512.1881,False
logei,qnehvi,9726.2695,0.0,5214.2883,14238.2508,True
logei,qnei,0.1638,1.0,-4511.8175,4512.145,False
logei,qpi,-0.1843,1.0,-4512.1655,4511.797,False
logei,qucb,-0.1436,1.0,-4512.1248,4511.8377,False
logei,ucb,-0.4718,1.0,-4512.453,4511.5095,False
logpi,pi,-0.1379,1.0,-4512.1192,4511.8433,False
logpi,qehvi,16752.8952,0.0,12240.914,21264.8764,True
logpi,qei,0.4117,1.0,-4511.5696,4512.3929,False
logpi,qnehvi,9726.4743,0.0,5214.4931,14238.4556,True
logpi,qnei,0.3686,1.0,-4511.6127,4512.3498,False
logpi,qpi,0.0205,1.0,-4511.9607,4512.0018,False
logpi,qucb,0.0612,1.0,-4511.92,4512.0425,False
logpi,ucb,-0.267,1.0,-4512.2482,4511.7143,False
pi,qehvi,16753.0331,0.0,12241.0519,21265.0144,True
pi,qei,0.5496,1.0,-4511.4316,4512.5308,False
pi,qnehvi,9726.6122,0.0,5214.631,14238.5935,True
pi,qnei,0.5065,1.0,-4511.4747,4512.4877,False
pi,qpi,0.1584,1.0,-4511.8228,4512.1397,False
pi,qucb,0.1992,1.0,-4511.7821,4512.1804,False
pi,ucb,-0.1291,1.0,-4512.1103,4511.8522,False
qehvi,qei,-16752.4835,0.0,-21264.4648,-12240.5023,True
qehvi,qnehvi,-7026.4209,0.0,-11538.4021,-2514.4397,True
qehvi,qnei,-16752.5266,0.0,-21264.5079,-12240.5454,True
qehvi,qpi,-16752.8747,0.0,-21264.8559,-12240.8934,True
qehvi,qucb,-16752.834,0.0,-21264.8152,-12240.8527,True
qehvi,ucb,-16753.1622,0.0,-21265.1434,-12241.1809,True
qei,qnehvi,9726.0626,0.0,5214.0814,14238.0439,True
qei,qnei,-0.0431,1.0,-4512.0243,4511.9381,False
qei,qpi,-0.3912,1.0,-4512.3724,4511.5901,False
qei,qucb,-0.3504,1.0,-4512.3317,4511.6308,False
qei,ucb,-0.6787,1.0,-4512.6599,4511.3026,False
qnehvi,qnei,-9726.1057,0.0,-14238.087,-5214.1245,True
qnehvi,qpi,-9726.4538,0.0,-14238.435,-5214.4725,True
qnehvi,qucb,-9726.4131,0.0,-14238.3943,-5214.4318,True
qnehvi,ucb,-9726.7413,0.0,-14238.7225,-5214.7601,True
qnei,qpi,-0.3481,1.0,-4512.3293,4511.6332,False
qnei,qucb,-0.3073,1.0,-4512.2886,4511.6739,False
qnei,ucb,-0.6356,1.0,-4512.6168,4511.3457,False
qpi,qucb,0.0407,1.0,-4511.9405,4512.022,False
qpi,ucb,-0.2875,1.0,-4512.2688,4511.6937,False
qucb,ucb,-0.3282,1.0,-4512.3095,4511.653,False
