iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.0272137021115593,3.101621678089748,1.0012596288055424,2.477299543768252,2.73286049052822,0.15323094724110708,0.15323094724110708,0.15323094724110708,0.0,False,True,0.0,logei,0.0,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.15323094724110708,7.894490219447871,7.894490219447871,7.894490219447871,7.894490219447871,0.15323094724110708,7.894490219447871,michalewicz
2,1.2286291551541173,1.3756464757427227,1.1710252155791652,0.3360046329538751,1.5047143521208903,0.32604765500876154,0.32604765500876154,0.32604765500876154,0.0,False,True,0.0,logei,0.0,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,7.721673511680216,15.616163731128086,7.721673511680216,7.808081865564043,0.32604765500876154,7.721673511680216,michalewicz
3,0.7582301259261758,0.8078456237537506,0.5803513018372032,0.6090434426292817,2.5567150298471115,-1.0282202964532643,-1.0282202964532643,-1.0282202964532643,0.0,False,True,0.0,logei,0.0,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,9.075941463142243,24.69210519427033,7.721673511680216,8.230701731423443,0.32604765500876154,7.721673511680216,michalewicz
4,1.3288440180585444,0.8039979789080718,1.8563760580914754,1.898377406065081,2.032164425727874,0.5224310245244812,0.5224310245244812,0.5224310245244812,0.0,False,True,0.0,logei,0.0,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.525290142164497,32.217395336434826,7.525290142164497,8.054348834108707,0.5224310245244812,7.525290142164497,michalewicz
5,2.863110509619268,0.4718864178640059,1.1667470743524408,0.8941621038640123,0.052722372294653944,-0.1443543065132659,,-0.1443543065132659,0.0,False,True,,logei,0.0,False,True,-1.0282202964532643,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.192075473202244,40.40947080963707,7.525290142164497,8.081894161927414,0.5224310245244812,7.525290142164497,michalewicz
6,1.3637039264029582,3.092141274255613,1.5800683086145,2.5418494281862833,2.1179958471195017,-0.7819422015366673,-0.7819422015366673,-0.7819422015366673,0.0,False,True,0.0,logei,0.512269800005015,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.829663368225646,49.23913417786272,7.525290142164497,8.20652236297712,0.5224310245244812,7.525290142164497,michalewicz
7,1.364891830018129,0.9408059597684214,1.7447301959341825,1.2805385332850097,1.6776015996912945,0.1740928934509327,0.1740928934509327,0.1740928934509327,0.0,False,True,0.0,logei,0.35638080001808703,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.873628273238046,57.112762451100764,7.525290142164497,8.158966064442966,0.5224310245244812,7.525290142164497,michalewicz
8,1.4038972262819924,0.5840296765068064,2.1649224560992426,2.5874914772048028,2.2211114490947637,1.4128435700111313,1.4128435700111313,1.4128435700111313,0.0,False,True,0.0,logei,0.35165850003249943,False,False,,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.4128435700111313,6.634877596677847,63.74764004777861,6.634877596677847,7.968455005972326,1.4128435700111313,6.634877596677847,michalewicz
9,1.4860493715189476,0.4141700366952405,2.4394681885220066,3.084822937909299,2.3032835030540175,-1.0177583826620211,,-1.0177583826620211,0.0,False,True,,logei,0.1788382999948226,False,True,-0.5949075717811122,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.4128435700111313,9.065479549351,72.81311959712961,6.634877596677847,8.09034662190329,1.4128435700111313,6.634877596677847,michalewicz
10,1.4584035073816448,0.5599057147920982,2.0995243145631024,1.9929044981587498,1.8620031867809044,-0.4059247297718132,,-0.4059247297718132,0.0,False,True,,logei,0.5105737000121735,False,True,-0.5949075717811122,8,dcda2c9d-0f9f-4ee3-b551-affcab61d846,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.4128435700111313,8.453645896460792,81.26676549359041,6.634877596677847,8.126676549359042,1.4128435700111313,6.634877596677847,michalewicz
