iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,0.595848047753563,0.0,False,True,0.0,ucb,0.0,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,0.19303114101745533,0.19303114101745533,0.0,False,True,0.0,ucb,0.0,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,-1.0527126446734347,0.0,False,True,0.0,ucb,0.0,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,1.006504808815746,0.0,False,True,0.0,ucb,0.0,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,-1.0537215195984087,0.0,False,True,0.0,ucb,0.0,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,1.006504808815746,7.041216357873232,michalewicz
6,2.982706318201904,0.0,2.7215524631346173,0.0,2.757721133669466,-1.0530935392773988,,-1.0530935392773988,0.0,False,True,,ucb,0.2504819000023417,False,True,-1.0529144196584295,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.100814705966377,49.65047070609635,7.041216357873232,8.275078451016059,1.006504808815746,7.041216357873232,michalewicz
7,3.1180005605251315,1.314490451678538,2.421769865205038,0.0017354431479413895,1.72334029166282,1.048959832694183,1.048959832694183,1.048959832694183,0.0,False,True,0.0,ucb,0.41719730000477284,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.048959832694183,6.998761333994795,56.64923204009114,6.998761333994795,8.092747434298735,1.048959832694183,6.998761333994795,michalewicz
8,0.6348337395432524,1.13907141209445,3.141592653589793,0.0,0.9743016150838809,0.49931548913818224,,0.49931548913818224,0.0,False,True,,ucb,0.36877619998995215,False,True,-1.0527126446734347,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.048959832694183,7.548405677550796,64.19763771764194,6.998761333994795,8.024704714705242,1.048959832694183,6.998761333994795,michalewicz
9,2.6661036597787855,1.5914479011450835,1.8862305009181837,0.15935195805432206,3.004828062796694,1.0118926072079344,1.0118926072079344,1.0118926072079344,0.0,False,True,0.0,ucb,0.2825919999741018,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.048959832694183,7.035828559481044,71.23346627712299,6.998761333994795,7.914829586346999,1.048959832694183,6.998761333994795,michalewicz
10,2.4636736728234356,1.4868233542934686,1.7535495893736188,0.19765609104538304,0.0,0.7460793294601464,0.7460793294601464,0.7460793294601464,0.0,False,True,0.0,ucb,0.3311031999764964,False,False,,9,bb5fd434-ea45-4408-8a9d-916c84b304e6,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.048959832694183,7.301641837228832,78.53510811435181,6.998761333994795,7.853510811435181,1.048959832694183,6.998761333994795,michalewicz
